iter	Passed	Remaining
0	202	202345
1	291	145470
2	374	124466
3	453	113027
4	541	107769
5	627	103890
6	708	100570
7	788	97807
8	870	95846
9	947	93829
10	1027	92357
11	1115	91854
12	1206	91570
13	1285	90563
14	1371	90029
15	1460	89811
16	1534	88717
17	1605	87610
18	1689	87253
19	1770	86756
20	1846	86095
21	1922	85471
22	1991	84590
23	2074	84346
24	2153	83984
25	2226	83414
26	2292	82605
27	2362	82020
28	2439	81683
29	2515	81326
30	2586	80854
31	2651	80213
32	2730	80014
33	2809	79836
34	2881	79449
35	2954	79124
36	3029	78839
37	3101	78519
38	3168	78080
39	3239	77754
40	3311	77448
41	3385	77222
42	3454	76888
43	3532	76756
44	3601	76437
45	3671	76150
46	3749	76032
47	3832	76020
48	3925	76179
49	3997	75957
50	4088	76081
51	4159	75839
52	4228	75552
53	4289	75139
54	4362	74952
55	4429	74670
56	4493	74337
57	4564	74140
58	4633	73900
59	4701	73663
60	4779	73565
61	4855	73457
62	4936	73416
63	5007	73231
64	5076	73029
65	5146	72827
66	5215	72632
67	5284	72428
68	5353	72228
69	5423	72050
70	5495	71905
71	5570	71800
72	5637	71590
73	5704	71387
74	5788	71387
75	5872	71396
76	5956	71400
77	6040	71396
78	6119	71344
79	6190	71195
80	6259	71012
81	6328	70850
82	6400	70718
83	6470	70557
84	6550	70510
85	6624	70405
86	6692	70232
87	6759	70057
88	6830	69917
89	6907	69839
90	6981	69738
91	7056	69646
92	7139	69626
93	7208	69481
94	7282	69376
95	7351	69227
96	7421	69085
97	7489	68938
98	7575	68943
99	7642	68779
100	7716	68687
101	7795	68626
102	7873	68569
103	7945	68450
104	8017	68337
105	8084	68185
106	8178	68257
107	8266	68278
108	8349	68249
109	8425	68167
110	8514	68193
111	8591	68119
112	8666	68025
113	8744	67962
114	8820	67880
115	8894	67782
116	8969	67693
117	9051	67655
118	9120	67520
119	9190	67393
120	9271	67351
121	9345	67255
122	9416	67142
123	9494	67074
124	9575	67031
125	9653	66962
126	9740	66958
127	9819	66894
128	9888	66768
129	9954	66615
130	10021	66477
131	10088	66336
132	10158	66222
133	10229	66110
134	10306	66037
135	10372	65896
136	10442	65781
137	10514	65674
138	10584	65565
139	10646	65402
140	10718	65298
141	10783	65156
142	10858	65077
143	10931	64983
144	11007	64909
145	11077	64795
146	11142	64659
147	11209	64532
148	11288	64472
149	11362	64389
150	11443	64342
151	11516	64251
152	11585	64137
153	11660	64055
154	11727	63934
155	11798	63834
156	11873	63753
157	11948	63673
158	12017	63563
159	12086	63454
160	12155	63345
161	12227	63250
162	12294	63131
163	12365	63031
164	12433	62923
165	12511	62859
166	12579	62748
167	12647	62634
168	12721	62551
169	12796	62478
170	12874	62417
171	12942	62306
172	13019	62239
173	13091	62146
174	13160	62040
175	13227	61927
176	13297	61827
177	13363	61713
178	13432	61608
179	13504	61518
180	13572	61412
181	13653	61365
182	13731	61303
183	13796	61184
184	13861	61065
185	13935	60987
186	14022	60963
187	14092	60868
188	14156	60745
189	14225	60644
190	14294	60547
191	14366	60457
192	14434	60356
193	14503	60257
194	14570	60150
195	14644	60071
196	14731	60048
197	14802	59958
198	14871	59859
199	14946	59784
200	15015	59689
201	15086	59597
202	15152	59490
203	15220	59389
204	15293	59308
205	15364	59220
206	15436	59137
207	15511	59063
208	15580	58968
209	15655	58895
210	15735	58838
211	15814	58782
212	15887	58700
213	15957	58611
