id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Pass Success %_home,Pass Success %_away
bTTzwI6a,20.05.2019 21:30,Al Hazem,Al Khaleej,1,0,48%,52%,10.0,8.0,6.0,2.0,4.0,6.0,14.0,13.0,5.0,2.0,2.0,1.0,27.0,27.0,2.0,5.0,11.0,13.0,,,,,,,,,2.0,4.0,0,0,,,,,H,,,,,,,,
0p8NXgnC,16.05.2019 21:30,Al Ahli SC,Al Ettifaq,5,0,56%,44%,10.0,4.0,6.0,2.0,4.0,2.0,12.0,19.0,3.0,3.0,4.0,0.0,15.0,20.0,2.0,1.0,15.0,12.0,,,,,116.0,123.0,67.0,63.0,0.0,3.0,0,0,,,,,H,,,,,,,,
S6vKWD1I,16.05.2019 21:30,Al Fateh,Al Raed,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A,,,,,,,,
6cwOVXGO,16.05.2019 21:30,Al Feiha,Al Wehda,5,2,43%,57%,9.0,10.0,8.0,5.0,1.0,5.0,11.0,10.0,2.0,2.0,3.0,2.0,14.0,11.0,3.0,3.0,7.0,9.0,,,,,118.0,136.0,64.0,83.0,2.0,1.0,0,0,,,,,H,,,,,,,,
K0R5fHgP,16.05.2019 21:30,Al Hilal,Al Shabab,3,2,62%,38%,15.0,8.0,6.0,7.0,9.0,1.0,14.0,15.0,5.0,3.0,3.0,4.0,24.0,22.0,5.0,3.0,12.0,10.0,,,,,105.0,89.0,77.0,58.0,0.0,2.0,0,0,,,,,H,,,,,,,,
dMIXky2t,16.05.2019 21:30,Al Nassr,Al Batin,2,1,64%,36%,11.0,4.0,5.0,3.0,6.0,1.0,21.0,15.0,7.0,1.0,1.0,3.0,19.0,13.0,2.0,3.0,14.0,18.0,,,,,115.0,90.0,85.0,45.0,2.0,3.0,0,0,,,,,H,,,,,,,,
vo8xkeHn,16.05.2019 21:30,Al Qadisiya,Al Hazem,2,2,54%,46%,17.0,8.0,9.0,4.0,8.0,4.0,16.0,18.0,4.0,3.0,2.0,1.0,23.0,23.0,2.0,7.0,16.0,15.0,,,,,91.0,89.0,80.0,38.0,8.0,4.0,2,1,,,,,D,,,,,,,,
Iy7tlFWh,16.05.2019 21:30,Al Taawon,Al-Faisaly,2,1,44%,56%,10.0,13.0,3.0,7.0,7.0,6.0,8.0,16.0,3.0,0.0,,,,,6.0,2.0,16.0,8.0,,,,,98.0,102.0,62.0,53.0,3.0,3.0,0,0,,,,,H,,,,,,,,
nBBpmZoa,16.05.2019 21:30,Ohod,Al Ittihad,1,0,46%,54%,8.0,8.0,5.0,4.0,3.0,4.0,10.0,15.0,2.0,5.0,2.0,1.0,22.0,24.0,4.0,4.0,13.0,9.0,,,,,64.0,80.0,43.0,60.0,2.0,2.0,0,0,,,,,H,,,,,,,,
MVQWsvAJ,11.05.2019 21:30,Al Batin,Ohod,0,1,52%,48%,9.0,8.0,4.0,3.0,5.0,5.0,13.0,5.0,6.0,5.0,0.0,5.0,26.0,29.0,2.0,4.0,5.0,8.0,,,,,,,,,1.0,2.0,0,0,,,,,A,,,,,,,,
Mg9JYZW5,11.05.2019 21:30,Al Ettifaq,Al Hilal,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A,,,,,,,,
hEH2xIXt,11.05.2019 21:30,Al Hazem,Al Nassr,0,3,45%,55%,6.0,12.0,0.0,6.0,6.0,6.0,16.0,12.0,1.0,8.0,1.0,0.0,30.0,23.0,3.0,0.0,11.0,16.0,,,,,,,,,2.0,2.0,0,0,,,,,A,,,,,,,,
W4G6yxmm,11.05.2019 21:30,Al Ittihad,Al Fateh,6,2,62%,38%,13.0,10.0,10.0,4.0,3.0,6.0,4.0,13.0,6.0,5.0,4.0,1.0,19.0,20.0,2.0,4.0,9.0,3.0,,,,,103.0,64.0,99.0,62.0,0.0,1.0,0,0,,,,,H,,,,,,,,
KQnlJfXI,11.05.2019 21:30,Al Raed,Al Feiha,0,0,51%,49%,8.0,8.0,2.0,7.0,6.0,1.0,13.0,10.0,6.0,8.0,0.0,3.0,22.0,28.0,7.0,2.0,10.0,10.0,,,,,88.0,103.0,52.0,63.0,2.0,1.0,0,0,,,,,D,,,,,,,,
