id,date,home_team,away_team,home_goals,away_goals,status,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result
bTTzwI6a,20.05.2019 21:30,Al Hazem,Al Khaleej,1,0,,,,48%,52%,10,8,6,2,4,6,14,13,5,2,2,1,27,27,2,5,11,13,,,,,,,,,2,4,0,0,,,,,H
0p8NXgnC,16.05.2019 21:30,Al Ahli SC,Al Ettifaq,5,0,,,,56%,44%,10,4,6,2,4,2,12,19,3,3,4,0,15,20,2,1,15,12,,,,,116,123,67,63,0,3,0,0,,,,,H
S6vKWD1I,16.05.2019 21:30,Al Fateh,Al Raed,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
6cwOVXGO,16.05.2019 21:30,Al Feiha,Al Wehda,5,2,,,,43%,57%,9,10,8,5,1,5,11,10,2,2,3,2,14,11,3,3,7,9,,,,,118,136,64,83,2,1,0,0,,,,,H
K0R5fHgP,16.05.2019 21:30,Al Hilal,Al Shabab,3,2,,,,62%,38%,15,8,6,7,9,1,14,15,5,3,3,4,24,22,5,3,12,10,,,,,105,89,77,58,0,2,0,0,,,,,H
dMIXky2t,16.05.2019 21:30,Al Nassr,Al Batin,2,1,,,,64%,36%,11,4,5,3,6,1,21,15,7,1,1,3,19,13,2,3,14,18,,,,,115,90,85,45,2,3,0,0,,,,,H
vo8xkeHn,16.05.2019 21:30,Al Qadisiya,Al Hazem,2,2,,,,54%,46%,17,8,9,4,8,4,16,18,4,3,2,1,23,23,2,7,16,15,,,,,91,89,80,38,8,4,2,1,,,,,D
Iy7tlFWh,16.05.2019 21:30,Al Taawon,Al-Faisaly,2,1,,,,44%,56%,10,13,3,7,7,6,8,16,3,0,,,,,6,2,16,8,,,,,98,102,62,53,3,3,0,0,,,,,H
nBBpmZoa,16.05.2019 21:30,Ohod,Al Ittihad,1,0,,,,46%,54%,8,8,5,4,3,4,10,15,2,5,2,1,22,24,4,4,13,9,,,,,64,80,43,60,2,2,0,0,,,,,H
MVQWsvAJ,11.05.2019 21:30,Al Batin,Ohod,0,1,,,,52%,48%,9,8,4,3,5,5,13,5,6,5,0,5,26,29,2,4,5,8,,,,,,,,,1,2,0,0,,,,,A
Mg9JYZW5,11.05.2019 21:30,Al Ettifaq,Al Hilal,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
hEH2xIXt,11.05.2019 21:30,Al Hazem,Al Nassr,0,3,,,,45%,55%,6,12,0,6,6,6,16,12,1,8,1,0,30,23,3,0,11,16,,,,,,,,,2,2,0,0,,,,,A
W4G6yxmm,11.05.2019 21:30,Al Ittihad,Al Fateh,6,2,,,,62%,38%,13,10,10,4,3,6,4,13,6,5,4,1,19,20,2,4,9,3,,,,,103,64,99,62,0,1,0,0,,,,,H
KQnlJfXI,11.05.2019 21:30,Al Raed,Al Feiha,0,0,,,,51%,49%,8,8,2,7,6,1,13,10,6,8,0,3,22,28,7,2,10,10,,,,,88,103,52,63,2,1,0,0,,,,,D
SW9FZFHa,11.05.2019 21:30,Al Shabab,Al Taawon,0,0,,,,55%,45%,11,14,2,4,9,10,17,20,6,5,1,1,14,13,4,2,19,16,,,,,96,101,71,77,1,4,0,0,,,,,D
ET5Bzd2g,11.05.2019 21:30,Al Wehda,Al Qadisiya,4,0,,,,53%,47%,12,11,6,1,6,10,9,16,6,5,1,0,18,23,1,2,15,9,,,,,,,,,3,1,0,0,,,,,H
0MPzsbPP,11.05.2019 21:30,Al-Faisaly,Al Ahli SC,1,4,,,,51%,49%,6,11,3,8,3,3,12,10,10,8,2,1,20,14,4,2,8,11,,,,,84,85,62,66,0,3,0,0,,,,,A
Q3BhUKuK,29.04.2019 18:00,Al Hilal,Al Taawon,0,2,,,,61%,39%,11,5,6,3,5,2,22,22,7,5,12,4,30,26,1,6,10,18,,,,,122,84,100,53,1,4,0,0,,,,,A
8S0cTveQ,20.04.2019 19:30,Al Feiha,Al-Faisaly,3,4,,,,43%,57%,11,18,5,11,6,7,13,14,1,7,2,2,15,19,7,2,12,11,,,,,108,118,59,87,4,3,0,0,,,,,A
zwoxMdm0,20.04.2019 17:55,Al Shabab,Al Hazem,2,0,,,,53%,47%,8,14,5,8,3,6,19,13,6,10,0,1,16,25,8,3,13,18,,,,,76,85,52,90,2,2,0,0,,,,,H
ETqtLG26,19.04.2019 19:45,Al Ahli SC,Al Wehda,3,2,,,,49%,51%,8,12,3,5,5,7,16,14,2,4,0,1,15,21,3,0,14,15,,,,,116,131,74,86,3,3,0,1,,,,,H
plhPOb3s,19.04.2019 19:30,Al Raed,Ohod,5,1,,,,52%,48%,11,8,7,3,4,5,16,23,8,3,3,2,18,24,2,2,20,14,,,,,95,86,67,58,1,2,0,0,,,,,H
I1jXMxYg,19.04.2019 17:45,Al Qadisiya,Al Batin,0,2,,,,52%,48%,10,12,5,7,5,5,19,19,5,4,0,2,38,21,5,5,19,17,,,,,147,106,104,58,2,4,0,0,,,,,A
8jqpKzIC,18.04.2019 19:45,Al Ittihad,Al Ettifaq,2,0,,,,53%,47%,14,13,5,4,9,9,13,13,7,5,2,2,14,27,4,3,11,11,,,,,74,96,68,83,0,2,0,1,,,,,H
vBiTNIIm,18.04.2019 19:45,Al Nassr,Al Fateh,5,0,,,,64%,36%,10,5,6,1,4,4,9,12,4,2,1,1,14,12,1,1,11,8,,,,,137,96,82,71,2,2,0,0,,,,,H
nDClV0QD,13.04.2019 17:50,Al Nassr,Al Ittihad,2,3,,,,56%,44%,20,10,5,6,15,4,21,8,7,6,0,4,24,14,3,3,8,17,,,,,114,92,93,55,1,5,0,0,,,,,A
K6O66HmD,12.04.2019 19:45,Al Ahli SC,Al Hilal,0,1,,,,42%,58%,5,7,2,4,3,3,16,17,7,9,4,1,27,29,3,2,13,15,,,,,81,103,61,76,3,2,1,0,,,,,A
bizb8wJ0,12.04.2019 19:45,Al Wehda,Al-Faisaly,1,2,,,,53%,47%,5,9,3,8,2,1,19,9,2,6,0,1,24,31,6,2,9,18,,,,,,,,,2,2,0,0,,,,,A
tGP27cY6,12.04.2019 18:20,Ohod,Al Feiha,1,3,,,,52%,48%,12,6,6,6,6,0,16,9,10,3,2,4,18,13,3,5,7,12,,,,,,,,,3,3,0,0,,,,,A
jRWkAall,12.04.2019 18:05,Al Taawon,Al Qadisiya,2,0,,,,61%,39%,16,9,6,2,10,7,15,16,8,3,5,7,25,12,2,4,11,8,,,,,115,99,103,64,1,3,0,0,,,,,H
CzYoBuZs,11.04.2019 19:30,Al Hazem,Al Raed,1,0,,,,47%,53%,8,9,2,2,6,7,13,14,2,7,0,0,22,23,2,1,14,13,,,,,100,110,60,83,2,2,0,0,,,,,H
plWg9J3f,11.04.2019 18:00,Al Batin,Al Shabab,1,2,,,,46%,54%,12,12,8,5,4,7,17,24,6,4,2,0,16,13,3,7,22,17,,,,,75,94,51,43,3,3,0,0,,,,,A
dQEHS74F,11.04.2019 17:40,Al Ettifaq,Al Fateh,0,0,,,,53%,47%,8,8,3,3,5,5,21,13,3,6,2,3,26,32,3,3,11,18,,,,,104,105,58,82,2,2,0,0,,,,,D
ETTHOwnp,06.04.2019 19:45,Al Wehda,Al Ettifaq,3,1,,,,68%,32%,10,11,7,6,3,5,9,17,5,6,0,2,15,10,5,4,17,7,,,,,111,98,78,65,3,2,0,0,,,,,H
QRc6V9Kd,06.04.2019 17:55,Al Feiha,Al Taawon,2,1,,,,28%,72%,4,14,3,5,1,9,13,17,1,9,4,2,12,21,4,1,13,11,,,,,90,139,48,133,2,3,0,0,,,,,H
MgXPMHGd,05.04.2019 19:45,Al Ittihad,Al Batin,4,1,,,,55%,45%,14,9,4,3,10,6,20,22,4,5,0,2,22,31,2,0,22,18,,,,,100,116,63,74,3,2,0,0,,,,,H
IZFDTmk9,05.04.2019 19:45,Al Shabab,Al Ahli SC,0,4,,,,51%,49%,9,16,4,11,5,5,12,14,11,5,3,2,27,15,7,4,11,10,,,,,122,108,99,83,2,2,0,0,,,,,A
UehoUaOM,05.04.2019 17:55,Al-Faisaly,Al Fateh,1,1,,,,56%,44%,9,13,3,7,6,6,13,11,7,9,2,0,21,22,6,2,9,13,,,,,100,90,82,86,0,3,0,0,,,,,D
CKsjTJwT,05.04.2019 17:35,Al Qadisiya,Ohod,4,2,,,,53%,47%,9,6,6,2,3,4,13,10,6,4,0,1,24,32,0,2,10,12,,,,,114,107,60,63,2,1,0,1,,,,,H
r3YLNc1j,04.04.2019 19:45,Al Hazem,Al Hilal,2,3,,,,32%,68%,8,21,6,11,2,10,14,17,3,6,2,1,13,25,8,4,15,13,,,,,93,128,45,112,4,2,0,0,,,,,A
OCG9UTZ2,04.04.2019 18:00,Al Raed,Al Nassr,0,5,,,,33%,67%,5,11,0,8,5,3,6,8,2,1,1,3,16,11,3,0,7,3,,,,,70,106,52,81,2,0,1,0,,,,,A
4Y27I2PA,01.04.2019 17:55,Al Feiha,Al Ahli SC,0,2,,,,37%,63%,10,15,7,9,3,6,19,17,4,9,2,1,19,25,7,7,15,18,,,,,101,122,48,79,5,3,0,0,,,,,A
rujZW1v4,30.03.2019 17:15,Ohod,Al Shabab,1,2,,,,54%,46%,8,11,5,5,3,6,18,18,2,3,1,1,24,17,3,4,17,17,,,,,87,105,53,51,4,4,1,0,,,,,A
GhlsVu9G,29.03.2019 18:40,Al Nassr,Al Hilal,3,2,,,,53%,47%,15,6,6,3,9,3,19,18,10,3,5,1,20,15,1,3,13,18,,,,,,,,,3,5,0,1,,,,,H
dWsnBKHp,29.03.2019 16:55,Al-Faisaly,Al Ittihad,3,2,,,,47%,53%,7,9,6,2,1,7,16,10,4,8,3,2,21,22,0,3,7,14,,,,,91,95,53,82,1,1,0,0,,,,,H
MVlwWLgA,28.03.2019 18:40,Al Ahli SC,Al Raed,4,5,,,,55%,45%,9,12,5,7,4,5,11,10,3,5,0,1,10,25,2,1,10,10,,,,,121,84,71,71,6,3,0,0,,,,,A
OxzYYN9i,28.03.2019 18:30,Al Ettifaq,Al Qadisiya,3,2,,,,49%,51%,14,10,7,4,7,6,11,16,7,5,4,0,23,19,2,4,12,11,,,,,78,72,88,58,4,3,0,0,,,,,H
2TYyYsPc,28.03.2019 17:00,Al Taawon,Al Wehda,1,0,,,,59%,41%,14,6,6,3,8,3,27,16,5,5,3,4,13,38,3,5,13,23,,,,,137,123,95,69,0,3,0,0,,,,,H
jk5JF09T,28.03.2019 16:55,Al Feiha,Al Batin,2,1,,,,56%,44%,14,5,6,1,8,4,12,15,5,1,1,0,24,26,0,4,14,12,,,,,133,99,84,42,3,3,0,1,,,,,H
AZojAvXj,28.03.2019 14:00,Al Hazem,Al Fateh,1,0,,,,60%,40%,12,3,10,1,2,2,9,17,8,1,2,0,21,20,1,9,15,9,,,,,102,107,79,51,2,2,0,0,,,,,H
M9D2JrA4,23.03.2019 18:05,Al Hilal,Ohod,0,0,,,,75%,25%,13,2,7,1,6,1,16,19,7,1,3,3,26,16,1,7,16,13,,,,,90,60,82,27,2,4,0,0,,,,,D
Cb6FGtfN,16.03.2019 18:30,Al Wehda,Al Nassr,0,4,,,,47%,53%,3,9,1,7,2,2,13,22,1,4,5,2,13,25,3,1,17,11,,,,,112,110,40,85,4,0,0,0,,,,,A
