id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Pass Success %_home,Pass Success %_away,Completed Passes_home,Completed Passes_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
U78WBtGM,30.05.2021 20:00,Al Ahli SC,Al Ettifaq,1,2,49%,51%,11,10,2,4,5,3,4,3,5,7,1,0,2,1,8,13,1,1,472,496,12,16,66,62,26,23,0,0,,,,,,,,,A
ri6KErW3,30.05.2021 20:00,Al Ain,Al Batin,3,4,72%,28%,18,9,5,5,10,3,3,1,9,1,0,0,1,2,14,16,2,2,493,194,11,10,0,0,0,0,0,0,,,,,,,,,A
CWcyB0VS,30.05.2021 20:00,Al Hilal,Al-Faisaly,3,2,65%,35%,11,5,8,3,0,1,3,1,4,1,3,5,1,5,15,13,3,1,607,332,17,18,,,,,0,0,,,,,,,,,H
nPl36Kwp,30.05.2021 20:00,Al Nassr,Al Ittihad,1,2,57%,43%,15,12,4,4,6,7,5,1,5,3,1,1,2,3,17,19,4,5,369,283,9,11,74,64,42,28,0,1,,,,,,,,,A
nPCBG41i,30.05.2021 20:00,Al Qadisiya,Abha,1,1,61%,39%,15,8,5,1,8,6,2,1,7,0,0,1,0,4,23,24,2,6,353,229,11,19,103,83,81,46,0,0,,,,,,,,,D
Ms5OD2oA,30.05.2021 20:00,Al Raed,Al Fateh,2,2,39%,61%,9,11,6,3,1,5,2,3,1,6,0,2,1,4,11,8,2,5,261,416,12,21,107,110,57,107,0,0,,,,,,,,,D
jH9SCM0G,30.05.2021 20:00,Al Shabab,Al Wehda,3,0,63%,37%,9,12,4,5,5,5,0,2,1,8,1,0,5,1,12,18,1,3,600,334,12,10,92,79,43,54,0,0,,,,,,,,,H
0SGFFOGc,30.05.2021 20:00,Damac,Al Taawon,2,0,37%,63%,14,6,4,1,6,4,4,1,6,6,1,0,1,2,12,15,5,2,237,392,12,9,118,156,114,121,0,0,,,,,,,,,H
Wx8ca3WG,26.05.2021 20:00,Al Batin,Damac,0,2,45%,55%,13,22,4,6,7,10,2,6,1,5,0,2,4,4,16,15,1,2,362,441,13,16,109,112,65,82,1,0,,,,,,,,,A
zBEl1P14,25.05.2021 20:00,Abha,Al Ahli SC,1,1,44%,56%,15,5,3,1,11,3,1,1,8,1,0,2,0,2,17,23,1,2,410,510,18,10,110,86,87,33,0,0,,,,,,,,,D
Qa71bNoN,25.05.2021 20:00,Al Ettifaq,Al Raed,3,1,49%,51%,7,19,5,7,0,8,2,4,5,10,0,0,6,2,18,7,1,2,378,373,8,15,47,63,34,60,1,0,,,,,,,,,H
4j65cs1T,25.05.2021 20:00,Al Fateh,Al Qadisiya,3,0,46%,54%,12,10,4,1,8,8,0,1,4,2,5,1,1,1,23,9,0,2,340,400,18,17,85,93,56,65,0,0,,,,,,,,,H
IZ3g0qHA,25.05.2021 20:00,Al Ittihad,Al Ain,1,0,48%,52%,10,16,2,4,8,7,0,5,7,10,2,3,4,1,14,12,1,1,401,428,7,12,83,78,47,64,0,0,,,,,,,,,H
fVPPh19p,25.05.2021 20:00,Al Wehda,Al Nassr,1,1,37%,63%,7,13,3,5,3,6,1,2,2,6,2,1,4,2,25,10,6,3,210,364,14,22,57,66,28,44,1,0,,,,,,,,,D
YLOTiLOj,23.05.2021 20:00,Al Taawon,Al Hilal,0,1,47%,53%,10,13,2,4,6,3,2,6,3,4,5,1,3,2,19,20,7,4,327,384,25,19,88,99,51,59,0,0,,,,,,,,,A
dKFp25nb,23.05.2021 20:00,Al-Faisaly,Al Shabab,1,5,41%,59%,19,10,5,6,9,4,5,0,5,3,1,3,1,4,14,9,2,1,362,522,10,14,77,65,58,58,0,0,,,,,,,,,A
