id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,result
W2Xass9I,16.03.2024 20:00,Al Fateh,Al Ittihad,2,4,1.40,3.48,46%,54%,12,17,4,7,5,7,3,3,13,7,3,9,1,4,21,26,3,2,7,10,0,1,1,3,383,428,303,361,22,12,87,105,33,76,27,10,3,11,10,10,A
ERxerNgC,16.03.2024 20:00,Al Hilal,Damac,2,1,1.29,0.52,64%,36%,18,9,7,2,10,6,1,1,11,11,10,5,1,5,16,21,1,5,12,6,0,1,2,2,500,289,420,207,22,15,126,71,115,26,6,30,9,2,15,9,H
SAzqoP9g,16.03.2024 20:00,Al Raed,Al Taawon,0,0,1.17,1.31,34%,66%,11,14,4,2,5,6,2,6,14,13,3,6,0,1,24,23,2,4,15,12,0,0,2,2,255,487,179,411,11,20,78,110,31,49,11,10,2,9,7,9,D
zyviq3v6,15.03.2024 20:00,Al Ahli SC,Al Nassr,0,1,1.08,0.82,40%,60%,10,4,3,1,2,1,5,2,8,15,7,5,3,2,15,22,0,3,11,8,0,0,2,2,322,505,268,443,25,10,73,91,43,50,24,17,4,2,5,9,A
OdKo5p1P,15.03.2024 20:00,Al Feiha,Al Riyadh,1,1,0.94,0.63,53%,47%,6,9,3,1,2,7,1,1,10,13,0,2,3,3,11,14,0,2,19,14,0,0,1,3,500,430,426,365,10,15,100,114,33,45,19,13,0,8,7,12,D
tEvmpqPa,15.03.2024 20:00,Al Taee,Al Ettifaq,1,1,0.63,1.32,38%,62%,9,14,4,5,2,6,3,3,11,16,4,9,3,1,13,27,4,3,17,12,0,1,2,3,262,429,200,361,21,4,69,102,37,61,31,17,4,5,7,3,D
bkBD049t,14.03.2024 20:00,Abha,Al Wehda,1,0,0.75,0.90,47%,53%,14,10,4,1,7,7,3,2,13,17,4,2,3,1,20,8,1,3,13,12,0,1,0,4,337,374,282,319,7,7,89,68,37,38,9,28,2,5,7,7,H
AgW3t1OO,14.03.2024 20:00,Al Hazem,Al Shabab,0,3,0.51,1.37,51%,49%,11,11,0,6,6,3,5,2,11,11,6,0,3,2,22,14,3,0,9,10,0,0,2,3,435,444,361,362,11,8,117,97,55,36,10,21,6,2,13,11,A
pnovn5fm,14.03.2024 20:00,Al Khaleej,Al Akhdoud,2,2,0.56,2.30,48%,52%,8,12,2,5,4,4,2,3,15,13,1,9,2,2,13,15,3,0,15,13,0,0,3,1,374,395,312,325,16,7,62,103,27,49,29,6,3,9,6,4,D
0t4EVqA6,09.03.2024 18:00,Al Taawon,Al Ahli SC,0,1,0.63,0.31,49%,51%,14,6,2,1,7,1,5,4,13,11,3,6,4,1,21,24,0,2,8,12,0,0,2,0,443,443,365,357,16,20,107,101,34,48,22,8,4,3,9,6,A
ABo5h7HJ,09.03.2024 15:00,Al Ettifaq,Abha,3,0,1.14,0.18,68%,32%,17,7,8,0,5,6,4,1,14,17,12,3,3,1,15,13,0,5,13,11,0,0,0,2,496,230,454,177,9,14,119,28,76,14,9,31,8,1,7,4,H
QNB1YoQm,09.03.2024 15:00,Al Fateh,Al Khaleej,1,2,,,61%,39%,8,18,3,8,5,8,0,2,14,25,4,5,3,0,22,14,6,2,21,13,0,0,1,1,521,334,443,271,18,11,109,66,47,47,12,18,7,10,5,11,A
Mk5AWPf0,08.03.2024 18:00,Al Ittihad,Al Akhdoud,2,1,1.58,1.32,63%,37%,9,12,3,3,3,6,3,3,10,10,6,7,2,0,17,24,2,1,8,15,0,0,2,1,543,304,445,206,18,14,122,94,53,52,22,18,2,4,12,14,H
l2p9iRWP,08.03.2024 15:00,Al Riyadh,Al Hilal,1,3,0.72,4.11,24%,76%,4,23,3,10,0,11,1,2,15,8,1,9,5,6,16,18,7,3,8,12,0,0,5,1,181,591,114,517,20,8,53,136,12,76,34,5,3,15,12,8,A
867MTNvJ,08.03.2024 15:00,Al Taee,Al Hazem,1,0,1.59,1.35,38%,62%,12,16,6,4,3,8,3,4,9,16,7,7,5,2,28,31,4,5,18,13,0,0,2,2,248,395,179,320,19,16,69,125,35,76,36,16,4,12,7,13,H
4EA5X5uf,07.03.2024 18:00,Al Nassr,Al Raed,1,3,0.99,0.76,71%,29%,16,7,3,5,10,1,3,1,9,7,11,4,2,0,23,18,2,2,6,14,0,0,0,6,634,264,558,197,19,23,160,63,85,23,10,45,13,1,11,4,A
6enzmous,07.03.2024 15:00,Al Shabab,Al Feiha,2,3,1.29,1.47,72%,28%,20,4,7,3,10,1,3,0,9,12,11,1,0,2,16,15,0,5,13,8,0,0,2,3,652,255,575,175,11,18,136,63,69,21,9,32,9,1,7,6,A
f33IU3PC,07.03.2024 15:00,Damac,Al Wehda,1,0,0.15,0.24,56%,44%,5,6,1,0,2,3,2,3,19,9,4,3,2,3,18,26,0,0,10,15,0,1,1,2,466,350,391,280,11,19,69,84,34,34,21,11,0,3,11,6,H
x4AQWYlq,02.03.2024 18:00,Al Ahli SC,Al Fateh,1,1,0.88,0.92,49%,51%,12,11,3,2,5,5,4,4,17,9,2,7,0,1,14,13,1,2,8,15,1,1,3,4,429,447,378,398,17,20,89,88,50,50,16,16,4,2,7,10,D
CM2wUWY1,02.03.2024 15:00,Al Khaleej,Al Shabab,0,0,0.86,0.71,34%,66%,10,10,3,6,6,4,1,0,13,12,0,1,2,3,12,17,6,3,12,10,0,0,2,2,313,620,248,534,9,12,82,130,34,41,11,13,5,3,16,5,D
vTfPizR8,02.03.2024 15:00,Damac,Al Ettifaq,0,2,0.30,1.86,44%,56%,4,10,1,4,2,4,1,2,17,10,2,5,2,0,11,18,2,1,11,18,1,0,,,384,489,328,431,11,9,65,96,28,43,16,8,1,3,5,2,A
MipUjftF,01.03.2024 18:00,Al Hilal,Al Ittihad,3,1,2.16,0.27,67%,33%,16,6,9,2,2,3,5,1,20,22,7,2,1,3,23,27,1,6,23,16,0,0,2,3,514,254,452,183,28,34,132,64,81,45,18,29,8,3,10,9,H
