id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result,Tackles_home,Tackles_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away
GAFwrr79,31.10.2020 19:00,El Gaish,Al Ahly,0,3,42%,58%,13.0,10.0,6.0,5.0,7.0,5.0,4.0,2.0,4.0,0.0,2.0,6.0,2.0,1.0,405.0,592.0,337.0,529.0,84.0,79.0,56.0,51.0,,,,,,,0,0,,,,,A,,,,,,
tICkutiS,31.10.2020 16:30,Pyramids,Arab Contractors,2,2,45%,55%,20.0,8.0,7.0,3.0,13.0,5.0,6.0,6.0,0.0,1.0,1.0,5.0,1.0,0.0,399.0,316.0,315.0,229.0,96.0,76.0,81.0,60.0,,,,,,,0,0,,,,,D,,,,,,
YoQYrOi3,31.10.2020 14:00,Smouha,ZED,2,0,49%,51%,16.0,6.0,6.0,2.0,10.0,4.0,11.0,5.0,1.0,3.0,2.0,4.0,0.0,2.0,460.0,428.0,,,72.0,56.0,32.0,21.0,13.0,11.0,7.0,9.0,10.0,12.0,0,0,,,,,H,,,,,,
SlZrM0pj,30.10.2020 19:00,Al Masry,Wadi Degla,2,1,40%,60%,7.0,8.0,4.0,5.0,3.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,0.0,3.0,398.0,450.0,,,76.0,87.0,45.0,40.0,,,,,,,0,0,,,,,H,,,,,,
f1Ess2MF,30.10.2020 16:30,El Gouna,Haras El Hodood,1,2,47%,53%,11.0,11.0,3.0,6.0,8.0,5.0,3.0,7.0,6.0,6.0,4.0,2.0,3.0,3.0,,,,,57.0,74.0,55.0,80.0,,,,,,,0,0,,,,,A,,,,,,
KrMUq4xc,30.10.2020 14:00,Enppi,Tanta,1,2,43%,57%,13.0,13.0,5.0,4.0,8.0,9.0,5.0,6.0,2.0,5.0,2.0,4.0,1.0,1.0,325.0,423.0,,,70.0,86.0,71.0,80.0,24.0,12.0,4.0,13.0,11.0,24.0,0,0,,,,,A,,,,,,
2RDotMyM,29.10.2020 19:00,El-Entag El-Harby,Misr Lel Makkasa,0,0,50%,50%,2.0,10.0,1.0,4.0,1.0,6.0,6.0,2.0,6.0,0.0,4.0,1.0,1.0,1.0,,,,,94.0,92.0,57.0,45.0,18.0,15.0,27.0,13.0,9.0,18.0,1,0,,,,,D,,,,,,
6uYnLKad,29.10.2020 16:30,Aswan SC,Al Ittihad,1,3,51%,49%,11.0,9.0,4.0,5.0,7.0,4.0,6.0,6.0,0.0,2.0,2.0,3.0,0.0,4.0,411.0,400.0,,,102.0,94.0,73.0,64.0,27.0,15.0,35.0,12.0,15.0,26.0,0,1,,,,,A,,,,,,
ADvvNtVq,26.10.2020 19:00,Zamalek,El Ismaily,3,1,52%,48%,9.0,18.0,6.0,7.0,3.0,11.0,5.0,8.0,1.0,1.0,6.0,3.0,3.0,2.0,,,,,93.0,109.0,52.0,69.0,14.0,14.0,22.0,14.0,13.0,13.0,0,1,,,,,H,,,,,,
YmHAv90H,19.10.2020 15:00,ZED,El Gaish,0,1,40%,60%,7.0,14.0,0.0,6.0,7.0,8.0,3.0,7.0,0.0,5.0,5.0,0.0,2.0,1.0,304.0,537.0,,,80.0,101.0,50.0,79.0,,,,,,,0,0,,,,,A,,,,,,
pSOcsBGb,18.10.2020 17:30,Tanta,Al Masry,1,2,52%,48%,10.0,8.0,3.0,5.0,7.0,3.0,3.0,4.0,4.0,0.0,3.0,2.0,4.0,3.0,,,,,94.0,114.0,92.0,87.0,10.0,22.0,16.0,10.0,18.0,10.0,0,0,,,,,A,,,,,,
x2LkqXon,17.10.2020 17:30,Al Ittihad,El-Entag El-Harby,1,2,54%,46%,8.0,14.0,5.0,9.0,3.0,5.0,4.0,5.0,1.0,4.0,7.0,4.0,1.0,2.0,,,,,122.0,96.0,67.0,58.0,18.0,12.0,27.0,14.0,11.0,14.0,0,0,,,,,A,,,,,,
SjE2tVV4,16.10.2020 20:00,Misr Lel Makkasa,Smouha,0,0,55%,45%,8.0,7.0,2.0,3.0,6.0,4.0,11.0,6.0,0.0,3.0,3.0,2.0,0.0,1.0,,,,,133.0,113.0,98.0,84.0,16.0,12.0,16.0,19.0,12.0,13.0,0,0,,,,,D,,,,,,
bBMopDWu,15.10.2020 20:30,Arab Contractors,Enppi,0,2,58%,42%,19.0,7.0,1.0,4.0,18.0,3.0,10.0,1.0,0.0,1.0,2.0,1.0,2.0,4.0,,,,,156.0,90.0,143.0,54.0,17.0,6.0,26.0,11.0,6.0,16.0,0,0,,,,,A,,,,,,
KpiyQ9oO,15.10.2020 17:00,El Ismaily,Aswan SC,4,2,43%,57%,10.0,4.0,7.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,0.0,3.0,1.0,2.0,,,,,85.0,115.0,45.0,57.0,10.0,22.0,7.0,22.0,19.0,8.0,0,0,,,,,H,,,,,,
vRH6ukoB,14.10.2020 17:00,Wadi Degla,El Gouna,0,2,46%,54%,5.0,22.0,1.0,9.0,4.0,13.0,7.0,7.0,0.0,0.0,7.0,1.0,1.0,0.0,,,,,40.0,110.0,45.0,90.0,9.0,6.0,20.0,15.0,6.0,9.0,0,0,,,,,A,,,,,,
6yQgri1h,12.10.2020 20:00,Haras El Hodood,Zamalek,1,2,47%,53%,8.0,15.0,4.0,4.0,4.0,11.0,1.0,8.0,2.0,1.0,2.0,3.0,1.0,0.0,,,,,87.0,90.0,46.0,68.0,13.0,19.0,13.0,24.0,17.0,12.0,0,0,,,,,A,,,,,,
8CIB3tG3,12.10.2020 15:00,Al Ittihad,Al Masry,1,2,56%,44%,13.0,10.0,5.0,3.0,8.0,7.0,8.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,,,,,63.0,53.0,66.0,39.0,10.0,7.0,10.0,10.0,5.0,8.0,0,0,,,,,A,,,,,,
0llEpS9O,12.10.2020 15:00,ZED,El-Entag El-Harby,0,3,49%,51%,3.0,13.0,0.0,3.0,3.0,10.0,1.0,9.0,0.0,2.0,0.0,0.0,1.0,3.0,,,,,81.0,97.0,31.0,82.0,19.0,12.0,18.0,31.0,12.0,17.0,0,0,,,,,A,,,,,,
YmeuPT0U,11.10.2020 20:00,Al Ahly,Pyramids,0,0,47%,53%,12.0,10.0,5.0,2.0,7.0,8.0,1.0,6.0,1.0,2.0,2.0,5.0,1.0,4.0,,,,,87.0,104.0,45.0,66.0,20.0,13.0,28.0,24.0,12.0,18.0,1,0,20.0,13.0,,,D,,,,,,
tKNSTina,10.10.2020 20:00,El Gaish,Misr Lel Makkasa,1,0,47%,53%,10.0,10.0,4.0,3.0,6.0,7.0,3.0,5.0,3.0,0.0,3.0,3.0,1.0,2.0,,,,,103.0,122.0,54.0,66.0,8.0,17.0,18.0,26.0,14.0,8.0,0,0,,,,,H,,,,,,
YgKKVDHn,09.10.2020 20:00,Smouha,Al Ittihad,2,1,41%,59%,7.0,12.0,3.0,3.0,4.0,9.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,316.0,536.0,211.0,411.0,87.0,132.0,44.0,80.0,19.0,17.0,22.0,31.0,16.0,17.0,0,0,,,,,H,,,,,,
ncOOUXWh,09.10.2020 17:30,Tanta,Arab Contractors,2,2,52%,48%,14.0,18.0,3.0,10.0,11.0,8.0,3.0,7.0,2.0,2.0,8.0,1.0,1.0,1.0,375.0,344.0,276.0,231.0,108.0,101.0,70.0,73.0,19.0,19.0,25.0,18.0,17.0,17.0,0,0,,,,,D,,,,,,
U3ON4Vft,09.10.2020 15:00,Al Masry,El Ismaily,2,0,54%,46%,11.0,14.0,2.0,6.0,9.0,8.0,5.0,2.0,2.0,3.0,6.0,0.0,3.0,1.0,506.0,413.0,396.0,329.0,75.0,78.0,73.0,68.0,,,,,,,0,0,,,,,H,,,,,,
06k6CjHO,08.10.2020 20:00,Zamalek,Wadi Degla,0,0,52%,48%,17.0,8.0,5.0,5.0,12.0,3.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,0.0,485.0,444.0,393.0,381.0,118.0,119.0,83.0,54.0,,,,,,,0,0,,,,,D,,,,,,
lMrlyzfP,08.10.2020 17:30,Aswan SC,Haras El Hodood,2,1,52%,48%,15.0,9.0,4.0,2.0,11.0,7.0,8.0,8.0,5.0,1.0,1.0,3.0,2.0,1.0,316.0,318.0,199.0,170.0,103.0,99.0,82.0,81.0,,,,,,,0,0,,,,,H,,,,,,
jVUFWg2t,07.10.2020 20:00,Enppi,Al Ahly,0,3,40%,60%,8.0,10.0,4.0,5.0,4.0,5.0,3.0,2.0,0.0,4.0,2.0,4.0,,,385.0,593.0,305.0,506.0,107.0,91.0,40.0,46.0,,,,,,,0,0,,,,,A,,,,,,
QNiXQkWH,07.10.2020 17:30,Pyramids,ZED,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H,,,,,,
nXhTRVGB,06.10.2020 20:00,El-Entag El-Harby,El Ismaily,0,1,61%,39%,11.0,8.0,0.0,2.0,11.0,6.0,5.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,505.0,251.0,385.0,161.0,105.0,97.0,59.0,36.0,,,,,,,1,0,,,,,A,,,,,,
KAMWSB15,05.10.2020 17:30,El Gouna,Al Masry,0,2,53%,47%,15.0,8.0,2.0,4.0,13.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,470.0,370.0,349.0,249.0,117.0,105.0,64.0,41.0,,,,,,,0,0,,,,,A,,,,,,
tdJANGPP,04.10.2020 20:00,Al Ahly,Arab Contractors,1,0,62%,38%,19.0,6.0,5.0,2.0,14.0,4.0,4.0,2.0,0.0,1.0,2.0,4.0,3.0,3.0,487.0,271.0,391.0,180.0,106.0,73.0,63.0,36.0,,,,,,,0,0,,,,,H,,,,,,
xS4tIfmm,04.10.2020 17:30,Al Ittihad,El Gaish,2,2,50%,50%,9.0,9.0,3.0,4.0,6.0,5.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,325.0,334.0,212.0,228.0,91.0,109.0,37.0,50.0,,,,,,,0,0,,,,,D,,,,,,
SGcgFhX5,03.10.2020 20:30,Misr Lel Makkasa,Pyramids,2,3,46%,54%,11.0,12.0,5.0,6.0,6.0,6.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,416.0,486.0,302.0,355.0,97.0,117.0,51.0,61.0,,,,,,,0,0,,,,,A,,,,,,
