id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result
GAFwrr79,31.10.2020 19:00,El Gaish,Al Ahly,0,3,42%,58%,13,10,6,5,7,5,4,2,4,0,2,6,2,1,405,592,337,529,84,79,56,51,,,,,,,0,0,,,,,A
tICkutiS,31.10.2020 16:30,Pyramids,Arab Contractors,2,2,45%,55%,20,8,7,3,13,5,6,6,0,1,1,5,1,0,399,316,315,229,96,76,81,60,,,,,,,0,0,,,,,D
YoQYrOi3,31.10.2020 14:00,Smouha,ZED,2,0,49%,51%,16,6,6,2,10,4,11,5,1,3,2,4,0,2,460,428,,,72,56,32,21,13,11,7,9,10,12,0,0,,,,,H
SlZrM0pj,30.10.2020 19:00,Al Masry,Wadi Degla,2,1,40%,60%,7,8,4,5,3,3,4,3,1,2,4,2,0,3,398,450,,,76,87,45,40,,,,,,,0,0,,,,,H
f1Ess2MF,30.10.2020 16:30,El Gouna,Haras El Hodood,1,2,47%,53%,11,11,3,6,8,5,3,7,6,6,4,2,3,3,,,,,57,74,55,80,,,,,,,0,0,,,,,A
KrMUq4xc,30.10.2020 14:00,Enppi,Tanta,1,2,43%,57%,13,13,5,4,8,9,5,6,2,5,2,4,1,1,325,423,,,70,86,71,80,24,12,4,13,11,24,0,0,,,,,A
2RDotMyM,29.10.2020 19:00,El-Entag El-Harby,Misr Lel Makkasa,0,0,50%,50%,2,10,1,4,1,6,6,2,6,0,4,1,1,1,,,,,94,92,57,45,18,15,27,13,9,18,1,0,,,,,D
6uYnLKad,29.10.2020 16:30,Aswan SC,Al Ittihad,1,3,51%,49%,11,9,4,5,7,4,6,6,0,2,2,3,0,4,411,400,,,102,94,73,64,27,15,35,12,15,26,0,1,,,,,A
ADvvNtVq,26.10.2020 19:00,Zamalek,El Ismaily,3,1,52%,48%,9,18,6,7,3,11,5,8,1,1,6,3,3,2,,,,,93,109,52,69,14,14,22,14,13,13,0,1,,,,,H
YmHAv90H,19.10.2020 15:00,ZED,El Gaish,0,1,40%,60%,7,14,0,6,7,8,3,7,0,5,5,0,2,1,304,537,,,80,101,50,79,,,,,,,0,0,,,,,A
