id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Tackles_home,Tackles_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
js5BWDo5,28.08.2021 21:00,Enppi,El Gouna,2,0,50%,50%,13,8,5,1,8,7,2,7,4,3,1,3,19,22,0,1,4,4,222,239,87,93,49,63,,,,,,,,,H
CdgKUiGH,28.08.2021 19:00,Arab Contractors,Al Ittihad,1,3,51%,49%,5,12,2,6,3,6,3,5,0,0,3,1,14,12,0,0,,,301,273,92,84,31,35,,,,,,,,,A
M5LmDPpp,28.08.2021 19:00,El-Entag El-Harby,Wadi Degla,2,2,54%,46%,19,11,8,6,11,5,5,4,3,2,4,6,14,7,0,1,,,382,297,78,66,50,35,,,,,,,,,D
UX3FVX0B,28.08.2021 17:00,Pyramids,Ghazl El Mahallah,6,0,69%,31%,14,5,9,1,5,4,3,0,0,2,1,3,14,9,0,0,,,576,256,119,70,66,38,,,,,,,,,H
GSKiCq0j,28.08.2021 17:00,Smouha,Misr Lel Makkasa,1,1,61%,39%,14,5,8,2,6,3,9,2,6,1,1,7,11,16,0,0,2,1,447,284,144,127,94,38,,,,,,,,,D
rH13YZGh,27.08.2021 21:00,Al Ahly,Aswan SC,2,1,58%,42%,17,3,5,2,12,1,9,2,1,2,1,3,4,9,0,0,0,3,430,231,120,103,93,45,,,,,,,,,H
0hCbZF1n,27.08.2021 21:00,National Bank Egypt,Zamalek,1,1,53%,47%,11,6,3,5,8,1,5,6,2,3,4,2,14,13,0,0,1,2,366,300,81,107,39,45,,,,,,,,,D
nk8fzdnt,27.08.2021 19:00,Ceramica Cleopatra,El Ismaily,2,3,55%,45%,13,8,3,3,10,5,8,2,3,1,0,1,15,26,0,0,1,1,424,281,145,90,77,32,,,,,,,,,A
M707XgWb,26.08.2021 21:00,El Gaish,Al Masry,0,0,43%,57%,9,10,0,0,9,10,6,5,1,5,0,0,22,12,0,0,1,1,216,364,106,137,65,86,,,,,,,,,D
WxYpGh1O,25.08.2021 21:00,Misr Lel Makkasa,Pyramids,0,5,36%,64%,12,18,4,7,8,11,6,2,7,4,2,4,8,7,0,0,3,2,176,505,92,111,47,57,,,,,,,,,A
