id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
SzEJYk3P,30.08.2022 21:30,Arab Contractors,Al Masry,2,1,32%,68%,8,16,3,5,4,6,1,5,6,6,2,7,2,0,10,25,4,1,5,7,2,1,254,533,167,443,27,14,86,144,27,77,0,0,H
vFXOC8t6,30.08.2022 21:30,Ghazl El Mahallah,Al Ittihad,1,1,31%,69%,7,11,3,4,2,6,2,1,5,4,5,6,1,3,18,14,3,2,3,2,,,264,602,201,535,13,16,91,115,42,53,0,0,D
CSVWAnBI,30.08.2022 21:30,Pyramids,El Gouna,1,3,50%,50%,8,11,4,5,4,6,,,9,10,2,5,,,21,19,2,3,,,0,1,,,,,,,82,66,39,35,1,0,A
OKElTTQn,30.08.2022 21:30,Zamalek,Eastern Company,1,2,39%,61%,10,10,4,3,4,6,2,1,7,8,2,6,2,5,19,17,1,3,7,2,1,0,360,569,281,500,17,13,127,157,64,97,0,0,A
Uq0oU9Bt,30.08.2022 18:30,El Ismaily,El Gaish,0,1,61%,39%,6,8,1,2,4,3,1,3,13,12,4,8,1,3,23,20,1,1,13,11,0,1,453,295,375,220,14,11,121,98,50,47,0,0,A
2BDhSmtg,30.08.2022 16:30,Al Ahly,Ceramica Cleopatra,4,0,53%,47%,8,10,6,3,2,4,0,3,8,18,1,1,4,1,12,14,3,2,14,8,1,0,470,421,400,351,18,15,84,114,38,56,0,1,H
I5WSBSeC,30.08.2022 16:30,National Bank Egypt,Enppi,1,1,33%,67%,9,15,2,5,5,5,2,5,9,16,2,7,3,0,15,33,4,1,16,9,3,2,247,487,162,392,18,10,69,147,29,75,0,0,D
QVZzA6QO,30.08.2022 16:30,Smouha,Pharco,0,0,46%,54%,7,8,3,2,1,5,3,1,10,11,9,0,3,0,12,18,2,3,11,11,1,0,322,388,266,338,9,14,73,93,49,43,0,0,D
MwwKDlRa,29.08.2022 19:00,Future FC,Misr Lel Makkasa,1,0,70%,30%,16,2,5,1,9,1,2,0,10,15,4,0,1,2,30,19,1,4,14,8,1,0,586,259,518,172,22,16,160,102,110,33,0,0,H
rmvGEUBg,27.08.2022 20:00,Eastern Company,National Bank Egypt,2,3,46%,54%,13,12,3,6,7,4,3,2,14,12,8,5,2,4,25,26,3,1,12,14,2,5,303,367,213,271,14,10,110,96,71,49,0,1,A
fTxuDHzk,27.08.2022 20:00,El Gaish,Al Ahly,1,0,52%,48%,5,11,2,1,1,7,2,3,9,10,3,5,2,2,16,32,1,1,9,5,0,2,429,383,337,302,17,12,106,99,44,54,0,0,H
dhNwYICE,27.08.2022 17:30,Pharco,Ghazl El Mahallah,1,1,57%,43%,15,13,3,6,9,6,3,1,8,9,8,8,2,1,28,14,5,2,8,8,1,2,441,333,356,249,21,16,92,81,52,51,0,0,D
I1OZYbc8,27.08.2022 16:00,Enppi,El Ismaily,2,0,44%,56%,7,12,2,2,3,8,2,2,7,5,4,5,1,0,29,20,2,0,4,7,0,2,342,431,247,334,15,16,116,141,77,75,0,0,H
jeWmBe51,26.08.2022 21:00,Al Masry,Zamalek,0,0,51%,49%,8,4,1,1,3,1,4,2,7,14,3,0,12,1,17,22,1,1,2,8,2,0,361,339,282,245,10,17,110,87,52,17,0,1,D
