id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Tackles_home,Tackles_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,result
2Fq5rvmQ,26.07.2023 19:30,Al Masry,Al Ahly,0,0,53%,47%,8,11,5,4,3,7,15,16,5,3,2,1,22,18,4,5,14,14,3,0,66,74,32,39,0,0,,,,,,,,,D
G4bVoKGP,23.07.2023 19:30,Pyramids,Al Ahly,3,0,43%,57%,11,19,5,4,6,15,,,4,9,,,,,4,2,,,6,2,109,94,54,74,1,0,,,,,,,,,H
rwPmkT2C,19.07.2023 19:30,Al Ahly,Haras El Hodood,1,1,67%,33%,19,4,6,1,13,3,,,9,1,,,,,0,5,,,0,4,150,86,94,15,0,0,,,,,,,,,D
G6BJ2nXB,16.07.2023 20:30,Zamalek,Pharco,2,2,64%,36%,15,9,5,4,10,5,,,2,4,,,,,2,3,,,3,2,110,81,66,43,1,0,,,,,,,,,D
nX6F3SH5,16.07.2023 18:00,Arab Contractors,Al Ahly,1,4,32%,68%,8,13,1,7,7,6,,,10,5,,,,,3,0,,,1,0,93,112,40,54,0,0,,,,,,,,,A
QHI65lmg,15.07.2023 20:30,El Ismaily,Al Ittihad,4,1,44%,56%,9,13,6,5,3,8,,,1,4,,,,,4,2,,,2,0,56,86,37,53,0,0,,,,,,,,,H
CEE26UXn,15.07.2023 18:00,Al Masry,Smouha,0,1,51%,49%,13,15,3,4,10,11,,,4,3,,,,,3,3,,,3,5,117,104,65,50,0,0,,,,,,,,,A
GrTWBjAP,15.07.2023 18:00,Enppi,Ceramica Cleopatra,1,0,47%,53%,5,6,2,2,3,4,,,1,2,,,,,2,1,,,2,3,90,116,27,48,0,0,,,,,,,,,H
x0OilmII,14.07.2023 19:30,Aswan SC,El Daklyeh,2,4,58%,42%,22,8,8,5,14,3,,,5,1,,,,,1,6,,,1,1,104,67,64,23,0,0,,,,,,,,,A
GjNem7XO,14.07.2023 19:30,Haras El Hodood,Ghazl El Mahallah,2,1,46%,54%,7,19,3,8,4,11,,,4,13,,,,,7,1,,,3,1,100,114,44,72,0,0,,,,,,,,,H
IiFb7AIt,14.07.2023 19:30,National Bank Egypt,Future FC,1,0,50%,50%,7,7,2,1,5,6,,,2,6,,,,,1,1,,,0,1,120,123,68,81,0,0,,,,,,,,,H
8t8B482a,14.07.2023 19:30,Pyramids,El Gaish,4,2,56%,44%,8,11,6,6,2,5,,,2,6,,,,,4,2,,,5,2,104,105,38,52,1,0,,,,,,,,,H
r9RXwbes,13.07.2023 19:30,Al Ahly,Zamalek,4,1,55%,45%,11,10,7,3,4,7,,,3,1,,,,,2,3,,,4,2,101,119,48,60,0,0,,,,,,,,,H
UZKqj9m6,12.07.2023 19:30,Al Ittihad,Arab Contractors,0,0,54%,46%,6,11,4,3,2,8,,,4,5,,,,,3,4,,,2,2,107,95,47,53,0,0,,,,,,,,,D
nBVvikYa,11.07.2023 19:30,Smouha,Enppi,2,1,45%,55%,9,8,7,2,2,6,,,4,4,,,,,1,5,,,3,2,100,94,49,49,0,0,,,,,,,,,H
8KWzhVIg,10.07.2023 19:30,Ceramica Cleopatra,Pyramids,2,1,59%,41%,9,7,4,4,5,3,,,2,6,,,,,3,2,,,1,1,69,70,38,46,0,0,,,,,,,,,H
0fTSgils,10.07.2023 19:30,El Daklyeh,El Ismaily,0,1,62%,38%,14,8,2,2,12,6,,,5,1,,,,,1,2,,,2,3,135,104,80,37,0,0,,,,,,,,,A
voSWhB3m,10.07.2023 19:30,El Gaish,Aswan SC,1,0,55%,45%,11,3,5,0,6,3,8,4,1,8,0,1,27,17,0,4,4,8,4,2,168,118,153,74,0,0,,,,,,,,,H
KdFbBJJE,10.07.2023 19:30,Ghazl El Mahallah,National Bank Egypt,0,0,50%,50%,18,6,3,1,15,5,,,6,1,,,,,1,3,,,2,2,137,96,81,39,0,0,,,,,,,,,D
MBdeCa48,09.07.2023 19:30,Pharco,Al Masry,0,3,58%,42%,7,7,2,4,5,3,,,6,1,,,,,1,2,,,1,3,127,94,47,35,1,0,,,,,,,,,A
888DmGR7,08.07.2023 20:00,Future FC,Zamalek,2,3,50%,50%,10,8,2,6,8,2,,,7,3,,,,,3,0,,,4,4,91,124,56,46,1,0,,,,,,,,,A
