id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Red Cards_home,Red Cards_away,result
W4dtwsxC,12.03.2024 20:30,El Gouna,Zamalek,3,2,1.05,2.02,35%,65%,19,23,6,8,8,13,5,2,5,6,2,2,6,3,17,6,6,1,156,597,16,15,85,152,46,75,15,27,8,5,,,,,0,0,H
4IflyL6O,12.03.2024 20:30,National Bank Egypt,Al Ahly,4,3,1.66,2.30,48%,52%,18,21,5,8,8,12,5,1,6,12,1,1,5,1,12,6,2,0,294,375,12,13,93,116,53,75,19,23,9,5,,,,,0,0,H
QR7Hz9XA,12.03.2024 20:30,ZED,Al Masry,2,2,,,38%,62%,7,15,3,5,4,10,,,4,11,1,3,3,1,11,11,4,1,,,,,67,89,35,50,,,,,14,12,18,16,0,0,D
pCCduXIu,11.03.2024 20:30,Al Ittihad,Future FC,0,0,0.10,0.81,45%,55%,10,11,1,3,6,7,3,1,1,4,0,5,3,1,13,14,3,1,221,343,6,14,95,79,41,45,15,18,2,4,,,,,0,0,D
bu6PYn2N,10.03.2024 15:00,El Daklyeh,Pyramids,0,2,0.15,1.99,36%,64%,15,23,1,12,4,10,10,1,4,5,6,1,10,1,12,12,1,1,181,567,21,15,50,74,25,68,9,25,17,5,,,,,0,0,A
Ei4DykI4,10.03.2024 15:00,Smouha,Ceramica Cleopatra,1,0,0.26,1.61,45%,55%,15,12,3,3,9,7,3,2,7,8,2,0,3,2,22,12,4,1,213,374,31,16,122,157,84,116,12,17,6,6,,,,,0,0,H
O2B0viYo,09.03.2024 15:00,Arab Contractors,El Ismaily,1,1,1.86,0.53,48%,52%,19,12,4,5,11,5,4,2,0,5,1,0,4,3,13,20,1,3,271,329,16,12,70,66,50,40,22,11,9,9,,,,,0,0,D
WSE8xV2b,08.03.2024 15:00,Baladiyat El Mahalla,El Gouna,1,2,0.97,1.86,57%,43%,10,8,2,5,5,2,3,1,5,2,2,7,3,1,8,12,2,2,381,190,14,16,131,101,66,50,28,10,5,4,,,,,0,0,A
jguqvNM5,07.03.2024 18:00,Future FC,ZED,0,0,0.40,0.20,53%,47%,13,9,2,3,8,4,3,2,7,2,3,0,3,2,16,17,4,1,397,316,12,16,129,112,57,43,18,13,11,8,,,,,0,0,D
ILbhzuMU,06.03.2024 18:00,Pyramids,Pharco,1,1,1.09,0.92,68%,32%,18,4,1,1,17,3,0,0,2,2,1,0,0,0,8,7,2,1,610,131,17,29,94,63,73,22,34,6,4,7,,,,,0,0,D
