id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result,Fouls_home,Fouls_away,Pass Success %_home,Pass Success %_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Completed Passes_home,Completed Passes_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away
b1yFEy4d,09.06.2015 20:30,Bologna,Pescara,1,1,46%,54%,8.0,14.0,4.0,8.0,4.0,6.0,18.0,14.0,1.0,5.0,0.0,0.0,18.0,28.0,7.0,3.0,1,0,3.0,4.0,D,,,,,,,,,,,,,,,,,,,,,,
fPCP09h0,06.06.2015 18:30,Modena,Entella,1,1,55%,45%,6.0,9.0,2.0,5.0,4.0,4.0,27.0,21.0,4.0,5.0,2.0,0.0,16.0,26.0,4.0,1.0,1,1,5.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,
KAxBFHlj,05.06.2015 20:30,Pescara,Bologna,0,0,54%,46%,5.0,11.0,0.0,4.0,5.0,7.0,23.0,22.0,9.0,4.0,4.0,1.0,36.0,19.0,4.0,0.0,0,0,1.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
hnVp78mT,02.06.2015 21:00,L.R. Vicenza,Pescara,2,2,56%,44%,11.0,11.0,6.0,9.0,5.0,2.0,16.0,20.0,7.0,4.0,2.0,2.0,29.0,22.0,7.0,4.0,0,0,5.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
bT7D2Sep,02.06.2015 18:30,Bologna,Avellino,2,3,47%,53%,12.0,11.0,7.0,6.0,5.0,5.0,16.0,22.0,4.0,1.0,3.0,3.0,26.0,28.0,3.0,5.0,0,0,5.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,
C0NK1kwf,30.05.2015 18:30,Entella,Modena,2,2,45%,55%,6.0,7.0,4.0,4.0,2.0,3.0,20.0,14.0,5.0,6.0,0.0,2.0,25.0,49.0,2.0,2.0,0,0,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
EeWt8lYM,29.05.2015 21:00,Avellino,Bologna,0,1,57%,43%,12.0,5.0,5.0,2.0,7.0,3.0,14.0,22.0,8.0,1.0,2.0,2.0,41.0,34.0,1.0,5.0,0,0,2.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,
6VWx9UIG,29.05.2015 18:30,Pescara,L.R. Vicenza,1,0,53%,47%,8.0,6.0,2.0,1.0,6.0,5.0,18.0,23.0,4.0,1.0,4.0,0.0,31.0,26.0,1.0,1.0,0,1,3.0,4.0,H,,,,,,,,,,,,,,,,,,,,,,
4zKC3B8s,26.05.2015 21:00,Spezia,Avellino,1,2,52%,48%,18.0,13.0,11.0,5.0,7.0,8.0,33.0,26.0,10.0,2.0,6.0,1.0,48.0,39.0,3.0,10.0,0,1,1.0,8.0,A,,,,,,,,,,,,,,,,,,,,,,
2RXp8i0Q,26.05.2015 18:30,Perugia,Pescara,1,2,48%,52%,7.0,7.0,3.0,4.0,4.0,3.0,24.0,18.0,3.0,4.0,1.0,0.0,24.0,18.0,2.0,2.0,0,0,5.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,
