id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result
b1yFEy4d,09.06.2015 20:30,Bologna,Pescara,1,1,46%,54%,8,14,4,8,4,6,18,14,1,5,0,0,18,28,7,3,1,0,3,4,D
fPCP09h0,06.06.2015 18:30,Modena,Entella,1,1,55%,45%,6,9,2,5,4,4,27,21,4,5,2,0,16,26,4,1,1,1,5,3,D
KAxBFHlj,05.06.2015 20:30,Pescara,Bologna,0,0,54%,46%,5,11,0,4,5,7,23,22,9,4,4,1,36,19,4,0,0,0,1,2,D
hnVp78mT,02.06.2015 21:00,L.R. Vicenza,Pescara,2,2,56%,44%,11,11,6,9,5,2,16,20,7,4,2,2,29,22,7,4,0,0,5,2,D
bT7D2Sep,02.06.2015 18:30,Bologna,Avellino,2,3,47%,53%,12,11,7,6,5,5,16,22,4,1,3,3,26,28,3,5,0,0,5,4,A
C0NK1kwf,30.05.2015 18:30,Entella,Modena,2,2,45%,55%,6,7,4,4,2,3,20,14,5,6,0,2,25,49,2,2,0,0,2,2,D
EeWt8lYM,29.05.2015 21:00,Avellino,Bologna,0,1,57%,43%,12,5,5,2,7,3,14,22,8,1,2,2,41,34,1,5,0,0,2,1,A
6VWx9UIG,29.05.2015 18:30,Pescara,L.R. Vicenza,1,0,53%,47%,8,6,2,1,6,5,18,23,4,1,4,0,31,26,1,1,0,1,3,4,H
4zKC3B8s,26.05.2015 21:00,Spezia,Avellino,1,2,52%,48%,18,13,11,5,7,8,33,26,10,2,6,1,48,39,3,10,0,1,1,8,A
2RXp8i0Q,26.05.2015 18:30,Perugia,Pescara,1,2,48%,52%,7,7,3,4,4,3,24,18,3,4,1,0,24,18,2,2,0,0,5,4,A
S2MSiE5t,22.05.2015 20:30,AC Carpi,Catania,0,0,46%,54%,4,2,0,0,4,2,,,0,7,0,0,,,0,0,0,0,0,2,D
KGBdoUlO,22.05.2015 20:30,Bologna,Lanciano,1,0,53%,47%,11,5,4,1,7,4,14,20,11,1,5,2,21,21,1,3,0,0,2,5,H
OldIXAKO,22.05.2015 20:30,Brescia,Avellino,3,2,51%,49%,12,13,7,4,5,9,13,18,5,4,1,3,27,21,2,4,0,0,1,0,H
IiFukCka,22.05.2015 20:30,Cittadella,Perugia,0,2,45%,55%,18,17,7,10,11,7,10,19,8,5,3,0,25,13,8,7,0,0,2,1,A
