id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Throw-ins_home,Throw-ins_away,Pass Success %_home,Pass Success %_away,result
QZHERyRE,09.06.2016 20:30,Trapani,Pescara,1,1,57%,43%,9,8,3,7,6,1,21,22,3,3,1,4,6,2,21,17,1,0,6,5,,,,,D
Ewary9ck,08.06.2016 20:30,Salernitana,Lanciano,1,0,48%,52%,9,10,4,5,5,5,14,14,3,5,1,1,5,3,13,13,0,0,1,0,,,,,H
nqJASHB8,05.06.2016 20:30,Pescara,Trapani,2,0,64%,36%,16,4,9,1,7,3,18,22,8,1,0,0,1,7,22,18,0,1,2,6,,,,,H
zm0vxkrq,04.06.2016 20:30,Lanciano,Salernitana,1,4,48%,52%,9,12,6,8,3,4,19,20,4,4,2,0,4,5,18,19,0,0,3,2,,,,,A
vXdqauTB,01.06.2016 20:30,Pescara,Novara,4,2,54%,46%,13,14,7,5,6,9,18,15,2,2,0,1,3,3,15,18,0,0,1,3,,,,,H
2iD9TZc1,31.05.2016 20:30,Trapani,Spezia,2,0,43%,57%,8,12,5,5,3,7,19,19,5,3,2,2,5,3,17,17,0,0,1,1,,,,,H
d87v0LD5,29.05.2016 18:30,Novara,Pescara,0,2,51%,49%,14,7,3,5,11,2,19,18,5,4,0,5,3,3,18,14,0,0,3,2,,,,,A
KSN4UFre,28.05.2016 18:30,Spezia,Trapani,0,1,55%,45%,9,3,2,2,7,1,17,19,3,2,2,1,1,2,15,15,0,0,2,2,,,,,A
I7DCtVZR,25.05.2016 20:30,Bari,Novara,3,4,54%,46%,9,20,5,12,4,8,27,33,5,4,5,3,8,2,28,24,0,1,6,6,,,,,A
4498sBKL,24.05.2016 20:30,Cesena,Spezia,1,2,53%,47%,10,11,5,2,5,9,27,26,5,4,0,3,1,4,26,24,0,0,2,4,,,,,A
bynXmrUr,20.05.2016 20:30,Avellino,Cesena,1,2,47%,53%,12,11,7,4,5,7,17,22,8,11,1,2,2,6,21,15,0,1,4,1,,,,,A
hboym2qk,20.05.2016 20:30,Bari,Trapani,1,2,55%,45%,13,9,9,4,4,5,21,23,3,3,3,1,2,8,20,20,0,0,7,3,,,,,A
UHe8u7Yc,20.05.2016 20:30,Crotone,Entella,1,0,50%,50%,12,4,3,3,9,1,11,19,5,9,4,3,3,2,15,8,0,0,2,3,,,,,H
Crr8ke5m,20.05.2016 20:30,L.R. Vicenza,Perugia,0,0,55%,45%,11,6,1,3,10,3,16,10,5,3,1,4,3,1,9,12,0,0,2,3,,,,,D
WlpunMbe,20.05.2016 20:30,Livorno,Lanciano,2,2,46%,54%,15,11,6,7,9,4,18,11,6,7,0,1,5,4,11,17,1,2,1,5,,,,,D
lQvpotE1,20.05.2016 20:30,Novara,Modena,4,0,46%,54%,12,8,7,1,5,7,13,13,3,9,0,5,1,3,13,8,0,1,1,2,,,,,H
SGwlp0T7,20.05.2016 20:30,Pescara,Latina,1,1,59%,41%,14,6,7,5,7,1,24,13,10,3,1,3,4,6,12,21,0,0,3,8,,,,,D
