id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,result
bHwVovAN,08.06.2017 20:30,Benevento,AC Carpi,1,0,50%,50%,10,8,3,2,7,6,20,13,4,10,1,2,2,2,12,18,1,3,0,0,,,,,,,H
KQvRnKfH,04.06.2017 20:30,AC Carpi,Benevento,0,0,43%,57%,8,9,2,2,6,7,16,15,2,4,1,0,2,2,14,15,1,4,0,0,,,,,,,D
IwdscRJJ,30.05.2017 20:30,Perugia,Benevento,1,1,60%,40%,11,15,6,9,5,6,12,25,5,5,1,2,8,5,24,10,3,4,0,0,,,,,,,D
Opj4oZie,29.05.2017 20:30,Frosinone,AC Carpi,0,1,60%,40%,23,11,8,3,15,8,29,18,10,4,3,3,2,8,15,26,1,10,0,2,,,,,,,A
UN2aYssJ,27.05.2017 20:30,Benevento,Perugia,1,0,48%,52%,10,7,6,2,4,5,17,16,8,4,6,3,2,5,10,14,3,2,0,0,,,,,,,H
pfi0nFxk,26.05.2017 20:30,AC Carpi,Frosinone,0,0,50%,50%,4,6,1,1,3,5,20,25,7,3,2,2,1,1,23,18,2,3,1,0,18,21,,,,,D
4rdVMARi,23.05.2017 20:30,Benevento,Spezia,2,1,52%,48%,10,13,6,4,4,9,20,7,9,6,1,6,3,4,6,14,2,2,0,1,,,,,,,H
QicRNjCo,22.05.2017 20:30,Cittadella,AC Carpi,1,2,47%,53%,9,10,6,8,3,2,19,23,4,5,5,1,6,5,18,18,4,1,0,0,,,,,,,A
rX9ZhQ5F,18.05.2017 20:30,AC Carpi,Novara,2,0,45%,55%,4,12,4,5,0,7,14,17,5,6,2,0,5,2,15,14,1,4,0,0,,,,,,,H
zVlEorbk,18.05.2017 20:30,Ascoli,Ternana,1,2,43%,57%,8,11,4,5,4,6,17,23,2,7,3,2,3,3,20,15,5,5,0,1,,,,,,,A
4tBVg6j9,18.05.2017 20:30,Avellino,Latina,2,1,53%,47%,19,9,12,7,7,2,24,19,6,2,3,3,6,10,16,21,3,1,0,0,,,,,,,H
Gt6Bp2De,18.05.2017 20:30,Brescia,Trapani,2,1,53%,47%,12,8,10,2,2,6,21,14,4,4,2,2,1,8,12,19,3,3,0,0,,,,,,,H
z76Rfny3,18.05.2017 20:30,Cesena,Verona,0,0,51%,49%,5,7,0,3,5,4,20,19,3,5,4,1,3,0,15,19,1,1,0,0,,,,,,,D
dG7NeSLd,18.05.2017 20:30,Entella,Cittadella,4,1,51%,49%,14,20,7,9,7,11,12,14,4,9,1,6,8,3,13,6,1,0,0,0,,,,,,,H
