id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Throw-ins_home,Throw-ins_away,result
0fkFivxd,16.06.2018 20:30,Frosinone,Palermo,2,0,14,9,6,4,8,5,35,27,1,2,1,6,4,4,26,29,0,1,4,5,304,336,12,8,67,78,64,57,,,,,H
6XkBhKMk,13.06.2018 20:30,Palermo,Frosinone,2,1,24,2,5,1,19,1,14,19,9,1,1,2,0,3,18,12,0,0,1,1,522,280,6,10,116,84,105,32,,,,,H
6VMGYbkQ,10.06.2018 21:00,Frosinone,Cittadella,1,1,8,15,5,2,3,13,26,15,3,3,1,4,1,4,13,22,0,1,2,3,262,493,11,7,130,167,97,109,,,,,D
Gbm6nysP,10.06.2018 18:30,Palermo,Venezia,1,0,13,20,3,6,10,14,13,17,9,4,0,1,6,2,17,13,0,1,3,1,466,392,29,11,171,166,105,107,,,,,H
0hbCNYtP,06.06.2018 21:00,Venezia,Palermo,1,1,8,17,4,4,4,13,22,9,8,5,1,3,3,3,8,18,0,0,1,2,342,421,14,17,153,151,106,113,,,,,D
SvOCZvzK,06.06.2018 18:30,Cittadella,Frosinone,1,1,6,7,3,5,3,2,13,28,6,5,1,0,4,2,26,13,0,0,5,3,414,217,27,14,155,133,110,85,,,,,D
dhaRfMDC,03.06.2018 21:00,Venezia,Perugia,3,0,9,13,5,5,4,8,19,17,7,9,0,1,5,2,17,18,0,0,3,0,302,528,7,8,125,156,84,124,,,,,H
vH4Me2b6,03.06.2018 18:30,Cittadella,Bari,2,2,22,14,8,7,14,8,21,27,7,1,6,4,4,6,21,18,0,3,3,5,568,585,30,15,113,130,101,90,,,,,D
lnnDIP5J,31.05.2018 20:30,Ascoli,Entella,0,0,15,8,6,3,9,5,26,16,5,2,1,1,3,6,15,25,0,0,3,4,298,380,5,13,152,160,100,100,,,,,D
zqbVgtTI,24.05.2018 20:30,Entella,Ascoli,0,0,7,3,1,2,6,1,18,18,4,4,1,2,2,1,17,16,0,0,1,3,,,,,139,174,92,98,,,,,D
QLGmCMch,18.05.2018 20:30,Ascoli,Brescia,0,0,11,4,6,0,5,4,21,19,6,1,5,1,0,6,15,20,0,0,2,5,536,335,16,5,178,146,116,90,,,,,D
4CFiBtDb,18.05.2018 20:30,Bari,AC Carpi,2,0,8,11,5,7,3,4,21,13,3,3,4,7,7,3,9,15,0,0,1,2,939,275,10,22,175,87,68,52,,,,,H
bZEeA0S4,18.05.2018 20:30,Cesena,Cremonese,1,0,17,3,5,1,12,2,9,13,5,1,4,1,1,4,9,8,0,0,2,0,383,571,9,17,76,80,55,56,,,,,H
4CyNQLCo,18.05.2018 20:30,Cittadella,Pro Vercelli,2,0,19,8,8,1,11,7,14,18,3,0,0,0,1,6,18,14,0,1,2,0,489,336,10,7,90,84,89,68,,,,,H
0bBC6IRT,18.05.2018 20:30,Empoli,Perugia,2,1,17,11,7,6,10,5,13,14,5,1,8,0,5,5,8,12,0,0,0,2,608,444,10,12,96,69,69,51,,,,,H
A9Ia9KsB,18.05.2018 20:30,Frosinone,Foggia,2,2,23,11,8,3,15,8,21,14,12,2,6,2,1,6,9,19,0,0,0,3,415,439,23,11,114,95,107,51,,,,,D
IFuRPuSi,18.05.2018 20:30,Novara,Entella,0,1,10,6,2,1,8,5,22,19,5,3,4,1,0,2,18,21,0,0,3,3,353,337,7,4,122,95,75,44,,,,,A
hY748vcH,18.05.2018 20:30,Salernitana,Palermo,0,2,5,20,0,8,5,12,17,12,4,5,0,3,6,0,12,13,0,0,3,1,396,448,24,24,105,116,57,100,,,,,A
WO687bCN,18.05.2018 20:30,Spezia,Parma,0,2,15,10,6,5,9,5,13,19,10,4,2,2,3,6,18,11,0,0,2,3,426,316,9,13,94,86,95,60,,,,,A
8pMrD2rn,18.05.2018 20:30,Ternana,Avellino,1,2,9,12,3,3,6,9,22,22,3,3,4,9,2,2,20,14,0,0,0,2,454,425,15,5,104,129,59,68,,,,,A
27cv2xzo,18.05.2018 20:30,Venezia,Pescara,0,0,10,5,4,3,6,2,10,15,6,4,3,1,3,4,12,9,0,0,2,1,605,361,8,10,105,92,99,59,,,,,D
2PjAb3Th,12.05.2018 15:00,AC Carpi,Cittadella,1,1,8,11,3,1,5,10,12,22,2,7,6,0,0,2,18,11,0,0,1,3,272,511,5,2,73,117,37,64,,,,,D
pltFcNra,12.05.2018 15:00,Brescia,Empoli,0,2,20,13,4,3,16,10,15,13,7,8,0,3,1,4,13,12,0,0,0,2,330,570,3,9,123,169,103,115,,,,,A
UgNvErTu,12.05.2018 15:00,Cremonese,Venezia,5,1,9,8,4,4,5,4,20,14,4,5,1,1,3,0,12,19,0,0,3,2,355,445,9,10,79,74,68,57,,,,,H
OvuJdsb5,12.05.2018 15:00,Entella,Frosinone,0,1,11,17,1,5,10,12,17,23,2,8,5,5,4,1,17,13,0,0,2,4,437,294,12,14,136,119,91,77,,,,,A
d6hQfLSH,12.05.2018 15:00,Foggia,Salernitana,1,0,12,13,5,2,7,11,15,12,3,9,2,5,2,4,10,10,0,0,1,2,466,380,10,17,91,86,71,73,,,,,H
lMn6aqEn,12.05.2018 15:00,Palermo,Cesena,0,0,21,6,7,1,14,5,16,19,8,7,3,0,1,7,16,15,0,0,1,2,431,253,25,29,89,76,100,65,,,,,D
fam20Pbt,12.05.2018 15:00,Parma,Bari,1,0,10,17,5,5,5,12,16,19,6,7,6,1,5,4,13,15,0,1,2,4,412,654,10,13,82,115,74,86,,,,,H
IFgMe1DB,12.05.2018 15:00,Perugia,Novara,1,1,15,18,3,3,12,15,16,16,4,5,0,1,2,2,15,15,0,0,1,3,333,392,11,0,86,94,64,88,,,,,D
hj1z55jP,12.05.2018 15:00,Pescara,Ascoli,0,1,13,21,6,9,7,12,18,19,3,5,2,4,8,6,17,14,1,0,1,4,474,488,5,17,115,100,57,51,,,,,A
hYoZhacU,12.05.2018 15:00,Pro Vercelli,Ternana,2,1,5,9,2,3,3,6,18,16,5,4,6,1,2,0,11,17,0,0,3,1,363,313,8,10,84,84,88,69,,,,,H
vVsVgurO,11.05.2018 20:30,Avellino,Spezia,1,0,12,9,3,3,9,6,13,12,2,3,4,1,3,2,10,12,0,0,2,1,393,456,14,9,160,172,110,112,,,,,H
25OOn6Ut,07.05.2018 20:30,Empoli,Cremonese,1,1,17,10,6,1,11,9,13,22,3,1,4,3,0,5,18,9,0,0,2,0,694,361,2,8,190,134,142,79,52%,48%,,,D
lMQzp4Ea,06.05.2018 17:30,Cesena,Parma,2,1,14,16,5,5,9,11,18,13,4,7,2,2,4,3,10,15,1,0,3,4,405,383,18,10,80,76,54,55,43%,57%,,,H
f1I8tV77,05.05.2018 15:00,Ascoli,Avellino,1,1,11,11,3,3,8,8,11,15,3,1,3,0,2,2,12,11,0,0,2,3,525,382,7,23,103,84,93,56,54%,46%,,,D
WpGuqOT5,05.05.2018 15:00,Bari,Perugia,3,1,10,13,4,7,6,6,15,14,2,7,2,2,6,1,12,13,0,0,2,1,443,412,13,26,100,87,64,86,54%,46%,,,H
846j5Ep8,05.05.2018 15:00,Cittadella,Brescia,2,2,14,15,8,8,6,7,16,19,6,5,1,1,6,6,18,15,0,0,2,2,408,376,39,9,158,147,114,100,45%,55%,,,D
M7Af4YaE,05.05.2018 15:00,Frosinone,AC Carpi,1,0,9,7,5,1,4,6,23,9,11,4,0,4,1,4,9,19,0,0,1,1,393,397,27,16,116,104,73,50,51%,49%,,,H
rLJqrrqC,05.05.2018 15:00,Novara,Pescara,1,1,19,10,6,4,13,6,13,16,3,7,1,1,3,5,15,12,0,0,2,2,321,477,7,8,102,105,51,50,53%,47%,,,D
