id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Completed Passes_home,Completed Passes_away,Throw-ins_home,Throw-ins_away,result
nslZLTNk,09.06.2019 18:00,Venezia,Salernitana,1,1,23,13,6,5,17,8,20,23,5,2,4,1,5,5,27,19,0,1,3,0,840,342,10,2,153,115,108,52,,,,,,,D
8jkVM98q,05.06.2019 20:45,Salernitana,Venezia,2,1,3,15,2,3,1,12,13,14,1,7,2,3,2,0,13,11,0,0,2,2,374,632,8,3,103,138,37,64,,,,,,,H
QNPJCfA3,02.06.2019 21:15,Verona,Cittadella,3,0,17,8,7,0,10,8,19,13,6,2,6,4,0,4,16,16,0,2,4,5,519,331,0,12,106,88,87,73,,,,,,,H
IcQFDzec,30.05.2019 21:00,Cittadella,Verona,2,0,17,17,8,7,9,10,23,13,5,11,2,4,7,6,11,19,0,0,0,2,309,527,14,2,77,118,32,68,,,,,,,H
IHvxzBHk,26.05.2019 21:00,Pescara,Verona,0,1,9,13,2,3,7,10,17,19,4,5,2,2,2,2,17,15,1,0,4,3,450,459,21,7,98,124,39,38,,,,,,,A
Iotpjkwp,25.05.2019 21:00,Benevento,Cittadella,0,3,13,13,4,6,9,7,25,19,10,3,3,2,3,4,16,23,0,0,2,5,458,344,29,5,126,85,58,40,,,,,,,A
vRuYzi2q,22.05.2019 21:00,Verona,Pescara,0,0,15,16,5,5,10,11,9,22,13,7,3,2,5,5,20,7,0,0,2,2,469,426,5,4,62,58,60,45,,,,,,,D
GxfIfVUS,21.05.2019 21:00,Cittadella,Benevento,1,2,5,15,5,5,0,10,24,19,1,6,3,10,3,4,16,16,1,1,2,2,302,518,20,4,59,142,19,44,,,,,,,A
QeDiPvVf,18.05.2019 21:00,Verona,Perugia,4,1,18,14,10,4,8,10,26,18,11,3,3,0,3,6,14,21,0,1,3,5,591,583,8,12,99,109,47,46,,,,,,,H
WYDmQKFl,17.05.2019 21:00,Spezia,Cittadella,1,2,19,16,5,4,14,12,13,8,10,7,0,2,2,4,8,12,0,0,1,3,540,398,7,10,54,67,29,31,,,,,,,A
29WUjP0t,11.05.2019 15:00,AC Carpi,Venezia,2,3,8,23,2,6,6,17,15,11,4,14,1,2,3,0,10,14,1,0,3,7,325,581,5,0,81,132,28,64,,,,,,,A
UcPblWvr,11.05.2019 15:00,Brescia,Benevento,2,3,9,14,2,8,7,6,18,17,5,4,3,2,5,0,15,16,0,0,1,0,454,442,11,10,108,83,63,34,,,,,,,A
QTKwgCWQ,11.05.2019 15:00,Crotone,Ascoli,3,0,9,13,6,5,3,8,20,14,5,6,2,8,5,3,12,14,0,0,,,605,381,2,4,81,85,44,29,,,,,,,H
Qq918iWD,11.05.2019 15:00,Lecce,Spezia,2,1,9,15,5,5,4,10,15,11,6,9,3,0,4,3,9,15,0,0,1,1,363,538,14,0,70,110,33,60,,,,,,,H
bwHFplv7,11.05.2019 15:00,Padova,Livorno,1,1,17,17,3,4,14,13,19,18,3,7,0,2,3,2,17,18,0,0,2,0,500,465,10,12,73,122,38,74,,,,,,,D
8lO2mjfl,11.05.2019 15:00,Palermo,Cittadella,2,2,19,12,8,4,11,8,20,18,9,5,5,1,2,6,13,19,0,0,0,1,386,470,14,9,84,92,35,43,,,,,,,D
2BN6nA9f,11.05.2019 15:00,Perugia,Cremonese,3,1,18,10,8,5,10,5,12,14,6,0,4,1,4,5,11,11,0,0,2,1,600,319,34,4,78,84,56,22,,,,,,,H
xUFJq8gD,11.05.2019 15:00,Pescara,Salernitana,2,0,16,10,6,1,10,9,16,12,5,2,1,1,1,4,11,15,0,0,1,1,626,336,10,0,138,76,44,29,,,,,,,H
GERAoUO0,11.05.2019 15:00,Verona,Foggia,2,1,14,15,5,6,9,9,15,24,1,6,4,1,5,3,22,15,1,0,3,3,453,477,13,0,100,80,37,48,,,,,,,H
hGMVfY1E,06.05.2019 21:00,Foggia,Perugia,1,0,10,16,2,2,8,14,11,9,4,4,1,2,2,2,9,10,1,0,1,2,408,523,12,19,91,122,42,39,,,,,,,H
jixXZWPl,05.05.2019 21:00,Salernitana,Cosenza,1,2,13,14,5,6,8,8,16,16,0,6,3,1,4,4,13,15,0,0,0,1,432,508,7,0,134,114,76,52,,,,,,,A
x8vqXU97,05.05.2019 15:00,Benevento,Padova,3,3,24,13,10,7,14,6,12,17,10,5,3,1,4,7,15,11,0,0,1,2,596,311,13,2,136,83,63,35,,,,,,,D
8SnSzDAr,05.05.2019 15:00,Livorno,AC Carpi,1,0,14,17,7,4,7,13,23,15,13,5,2,1,4,6,15,20,0,0,3,4,418,336,6,15,109,106,71,57,,,,,,,H
bHuuYAf1,04.05.2019 18:00,Cittadella,Verona,3,0,16,13,6,3,10,10,18,20,12,2,4,4,3,3,16,14,0,1,1,6,516,449,4,7,117,96,58,34,,,,,,,H
vDIReEn8,04.05.2019 15:00,Ascoli,Palermo,1,2,7,16,2,3,5,13,21,25,4,3,7,3,1,1,19,18,0,0,1,4,419,450,15,8,113,89,38,36,,,,,,,A
nPt1ug2R,04.05.2019 15:00,Cremonese,Brescia,0,0,17,7,6,1,11,6,15,21,9,5,4,3,1,6,17,12,0,0,0,1,412,487,1,8,129,94,63,40,,,,,,,D
UsyyZjue,04.05.2019 15:00,Spezia,Crotone,2,0,9,8,3,2,6,6,22,20,3,6,5,1,2,1,16,21,0,0,1,3,460,521,8,6,94,114,47,42,,,,,,,H
nwMZghHK,04.05.2019 15:00,Venezia,Pescara,2,2,12,13,2,5,10,8,9,16,8,4,0,1,3,0,16,8,0,0,2,1,492,493,0,13,119,103,75,28,,,,,,,D
buMNRZXR,01.05.2019 18:00,Brescia,Ascoli,1,0,11,6,1,4,10,2,17,17,7,5,2,3,4,0,16,14,0,0,2,2,388,517,14,5,92,106,52,40,,,,,,,H
jwcbLXAe,01.05.2019 15:00,AC Carpi,Cremonese,1,2,18,18,6,7,12,11,16,13,9,7,4,0,5,5,9,16,0,0,0,1,267,564,14,0,98,110,47,33,,,,,,,A
h2sctZnL,01.05.2019 15:00,Cosenza,Venezia,1,1,11,8,2,1,9,7,15,11,5,4,0,1,0,1,11,14,0,0,1,4,450,583,8,2,96,103,51,17,,,,,,,D
UN8kNgtq,01.05.2019 15:00,Crotone,Benevento,1,0,5,24,2,6,3,18,24,16,5,11,1,9,6,1,16,16,1,0,3,3,274,517,2,11,58,123,34,68,,,,,,,H
