id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Goal Kicks_home,Goal Kicks_away,result
txsNpE38,20.08.2020 21:15,Spezia,Frosinone,0,1,47%,53%,10,16,1,4,9,12,19,24,1,6,0,1,3,1,24,18,3,2,395,452,14,14,108,134,46,63,0,0,,,,,A
SYhuMUQ7,16.08.2020 21:15,Frosinone,Spezia,0,1,44%,56%,11,10,4,2,7,8,29,19,2,2,4,1,1,4,16,29,2,4,392,444,14,13,116,103,41,34,0,0,,,,,A
dbv81VD5,14.08.2020 21:00,Perugia,Pescara,2,2,34%,66%,8,15,6,8,2,7,12,26,5,8,2,2,7,4,26,12,5,4,351,704,23,17,96,108,19,60,0,0,,,,,D
6X1zO3oF,12.08.2020 21:00,Pordenone,Frosinone,0,2,60%,40%,12,8,3,2,9,6,20,26,6,1,2,1,0,3,26,20,2,1,492,345,16,11,122,89,58,22,0,0,,,,,A
rHLlIhWb,11.08.2020 21:00,Spezia,Chievo,3,1,55%,45%,13,9,5,1,8,8,14,19,5,5,1,2,0,2,18,11,2,2,303,264,6,15,73,69,58,25,0,0,,,,,H
I7u42Bba,10.08.2020 21:00,Pescara,Perugia,2,1,58%,42%,13,10,5,2,8,8,16,13,10,5,1,0,1,3,12,16,1,2,475,382,13,21,119,115,57,33,0,0,,,,,H
vBVwPqW8,09.08.2020 21:00,Frosinone,Pordenone,0,1,55%,45%,10,17,1,7,9,10,20,12,3,3,3,1,6,1,10,20,1,2,458,375,18,10,104,101,57,39,0,0,,,,,A
4QMpJYGh,08.08.2020 21:00,Chievo,Spezia,2,0,40%,60%,9,13,2,4,7,9,18,19,4,10,3,0,4,0,17,18,2,4,348,539,16,12,66,152,31,82,0,0,,,,,H
ryYi5DEt,05.08.2020 21:00,Cittadella,Frosinone,2,3,46%,54%,15,14,4,7,11,7,26,36,7,6,1,3,4,2,33,23,4,3,452,484,21,16,133,142,65,53,0,0,,,,,A
tSoQ9g6P,04.08.2020 21:00,Chievo,Empoli,1,1,47%,53%,23,18,6,7,17,11,17,15,7,6,1,0,6,5,15,19,1,1,545,626,9,19,107,142,66,63,0,0,,,,,D
