id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
825NLu3r,27.05.2021 21:15,Venezia,Cittadella,1,1,31%,69%,4,16,3,5,0,8,1,3,1,8,0,2,4,2,13,23,2,0,5,3,221,485,10,18,73,116,30,58,,,,,D
G6sfw8YF,23.05.2021 21:15,Cittadella,Venezia,0,1,57%,43%,10,10,2,3,3,7,5,0,7,4,3,0,2,2,17,17,0,0,1,3,435,333,18,9,116,86,57,43,,,,,A
MFWjRfWt,20.05.2021 20:45,Monza,Cittadella,2,0,65%,35%,19,8,4,3,10,3,5,2,9,4,0,2,3,2,19,30,0,0,3,3,557,307,10,20,136,80,72,31,,,,,H
x8UWq4x0,20.05.2021 18:30,Lecce,Venezia,1,1,63%,37%,19,7,6,2,5,2,8,3,6,5,0,0,1,5,19,23,1,0,3,4,522,317,15,12,148,66,64,25,,,,,D
O4QSppNg,17.05.2021 20:45,Venezia,Lecce,1,0,46%,54%,18,8,6,2,6,4,6,2,11,4,2,0,2,5,11,12,0,0,1,0,405,506,11,10,86,112,55,42,,,,,H
jXqPVzOP,17.05.2021 18:30,Cittadella,Monza,3,0,47%,53%,12,18,6,7,2,8,4,3,3,4,2,1,7,3,19,17,0,0,4,2,391,442,13,15,128,115,64,46,,,,,H
hAyj1sbm,13.05.2021 21:00,Venezia,Chievo,3,2,51%,49%,22,19,6,7,11,8,5,4,2,8,3,1,5,3,24,23,0,0,6,4,535,530,15,12,145,101,56,58,,,,,H
v7Xo2Nrs,13.05.2021 18:00,Cittadella,Brescia,1,0,49%,51%,11,12,3,2,4,6,4,4,6,6,4,1,2,2,17,14,0,0,3,0,366,379,14,13,121,113,67,77,,,,,H
IZ34UJt6,10.05.2021 14:00,Chievo,Ascoli,3,0,39%,61%,9,11,7,2,1,2,1,7,5,9,4,1,2,4,16,14,0,0,2,2,316,481,21,18,65,131,24,42,,,,,H
Wt0uWWHA,10.05.2021 14:00,Cittadella,Venezia,1,1,49%,51%,11,15,4,8,6,3,1,4,3,4,0,2,7,3,20,11,0,0,2,1,441,435,19,10,102,84,50,53,,,,,D
th7SYYXi,10.05.2021 14:00,Empoli,Lecce,2,1,50%,50%,18,13,5,2,8,7,5,4,7,5,2,0,1,3,14,14,0,0,3,2,429,435,13,17,88,102,50,47,,,,,H
ARBWXhmb,10.05.2021 14:00,L.R. Vicenza,Reggiana,2,1,52%,48%,10,10,4,3,5,5,1,2,4,3,1,1,2,2,7,14,0,0,1,1,520,479,17,15,114,103,49,40,,,,,H
dQ28TwdC,10.05.2021 14:00,Monza,Brescia,0,2,51%,49%,22,11,5,4,8,3,9,4,8,8,1,1,2,5,18,8,1,0,3,1,434,415,14,15,93,109,60,50,,,,,A
lIAzXC24,10.05.2021 14:00,Pescara,Salernitana,0,3,53%,47%,10,14,1,4,4,5,5,5,1,5,0,1,1,1,22,19,0,0,4,0,416,351,9,24,104,119,27,63,,,,,A
pp4qVjXG,10.05.2021 14:00,Pisa,Entella,3,2,57%,43%,24,7,6,3,11,2,7,2,7,4,1,2,1,3,14,9,0,0,1,0,511,414,18,9,120,51,68,17,,,,,H
