id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
rk96jZGj,29.05.2022 20:30,Pisa,Monza,3,4,49%,51%,18,15,6,7,6,5,6,3,5,4,0,2,3,3,25,15,0,1,5,4,394,418,263,279,24,27,131,137,80,47,,,,,A
4bA2iF1p,26.05.2022 20:30,Monza,Pisa,2,1,52%,48%,13,13,4,3,6,7,3,3,7,7,1,0,2,2,9,8,0,0,,,368,329,283,244,16,9,89,110,56,45,,,,,H
E15qeLKm,22.05.2022 21:00,Monza,Brescia,2,1,53%,47%,15,12,3,6,5,5,7,1,5,6,2,1,5,1,9,16,0,0,0,1,430,368,339,268,16,18,128,116,50,49,,,,,H
fHOC0scQ,21.05.2022 18:00,Pisa,Benevento,1,0,51%,49%,12,7,1,1,6,3,5,3,2,4,5,5,1,0,22,14,0,0,3,2,377,352,276,253,17,18,123,97,39,42,,,,,H
6VdfDrQi,20.05.2022 20:30,Cosenza,L.R. Vicenza,2,0,51%,49%,7,12,4,2,3,7,0,3,4,2,2,0,2,2,12,20,0,0,4,3,331,322,244,234,12,17,86,99,37,36,,,,,H
dQAvd15s,18.05.2022 20:00,Brescia,Monza,1,2,48%,52%,18,12,6,3,8,7,4,2,4,4,0,0,1,5,10,13,0,0,2,3,381,423,290,342,21,16,106,110,55,51,,,,,A
0fP81NsK,17.05.2022 20:30,Benevento,Pisa,1,0,60%,40%,18,8,3,4,8,2,7,2,3,3,3,1,4,2,17,17,0,0,2,3,437,287,350,203,12,12,102,79,51,31,,,,,H
dKk7AtAA,14.05.2022 18:00,Brescia,Perugia,3,2,52%,48%,20,11,5,3,8,7,7,1,12,7,1,3,1,2,24,20,0,0,4,4,487,451,351,304,15,19,146,125,67,49,,,,,H
vqe2BMf4,13.05.2022 20:30,Ascoli,Benevento,0,1,59%,41%,19,3,6,1,9,1,4,1,6,2,3,0,0,6,13,16,1,0,3,3,392,269,305,184,11,12,105,94,38,35,,,,,A
fegjEOAo,12.05.2022 20:30,L.R. Vicenza,Cosenza,1,0,63%,37%,19,10,6,3,11,3,2,4,6,4,1,3,3,5,17,10,0,0,2,4,392,221,308,142,14,18,96,91,54,36,,,,,H
2D6JoB1n,06.05.2022 20:30,Alessandria,L.R. Vicenza,0,1,66%,34%,14,6,4,1,4,4,6,1,4,3,6,4,0,4,8,24,1,0,3,3,448,241,339,136,22,17,119,84,52,31,,,,,A
rPNGpVGh,06.05.2022 20:30,Ascoli,Ternana,4,1,58%,42%,18,11,6,4,9,6,3,1,2,9,1,1,3,2,9,15,0,0,1,1,482,331,396,221,13,17,121,105,50,41,,,,,H
MFMKqkWb,06.05.2022 20:30,Benevento,Spal,1,2,48%,52%,30,18,9,6,17,9,4,3,12,8,1,2,4,8,8,11,0,0,1,3,428,471,349,398,19,10,116,101,54,59,,,,,A
GxMOr9o5,06.05.2022 20:30,Brescia,Reggio Calabria,3,0,53%,47%,30,3,9,1,14,1,7,1,13,2,2,0,1,6,14,9,0,0,0,2,478,436,403,349,14,17,113,93,73,26,,,,,H
UuQSsT0B,06.05.2022 20:30,Como,Cremonese,1,2,58%,42%,14,13,3,3,6,6,5,4,5,6,7,0,1,2,11,18,0,0,3,1,498,364,400,277,14,15,90,96,46,47,,,,,A
YkYc8SWJ,06.05.2022 20:30,Cosenza,Cittadella,1,0,39%,61%,11,8,4,2,6,4,1,2,4,3,4,2,2,3,4,10,0,0,1,2,339,540,242,427,13,17,111,120,58,38,,,,,H
jeEyt7VN,06.05.2022 20:30,Frosinone,Pisa,1,2,60%,40%,14,6,1,3,8,2,5,1,6,3,5,3,1,1,14,17,0,0,4,3,450,300,338,177,17,15,144,98,47,34,,,,,A
KUIuuRpU,06.05.2022 20:30,Lecce,Pordenone,1,0,58%,42%,24,2,7,0,14,2,3,0,7,1,1,1,0,6,12,6,0,0,3,0,591,458,516,371,15,8,167,58,92,14,,,,,H
Mw57zogo,06.05.2022 20:30,Perugia,Monza,1,0,49%,51%,21,20,7,7,9,6,5,7,10,5,0,2,7,6,15,15,0,0,3,3,358,382,263,278,11,7,101,83,71,43,,,,,H
C4FXtmGH,06.05.2022 18:15,Crotone,Parma,0,1,60%,40%,10,4,3,2,4,2,3,0,6,6,1,4,1,3,18,15,0,0,0,3,523,349,410,256,22,10,124,117,54,71,,,,,A
YcS5Sm1O,30.04.2022 16:15,Reggio Calabria,Como,1,4,59%,41%,16,14,6,6,9,4,1,4,4,7,3,1,2,5,15,15,0,0,2,0,490,337,433,279,19,19,121,60,69,37,,,,,A
AJstYiXn,30.04.2022 14:00,Cittadella,Brescia,1,0,44%,56%,7,17,4,4,2,9,1,4,4,8,0,3,4,3,17,10,0,0,3,1,390,489,288,376,28,16,104,152,35,89,,,,,H
MgopXBng,30.04.2022 14:00,Cremonese,Ascoli,0,1,55%,45%,10,11,2,2,4,6,4,3,7,3,5,3,1,2,9,15,0,0,3,4,466,384,381,288,16,23,122,77,63,35,,,,,A
