id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
2NqcBVPD,11.06.2023 20:30,Bari,Cagliari,0,1,0.78,1.27,45%,55%,7,18,1,8,5,5,1,5,9,13,3,9,1,0,18,26,7,1,9,11,3,3,372,442,297,370,13,11,65,114,31,46,0,0,A
lKeFnnmD,08.06.2023 20:30,Cagliari,Bari,1,1,0.88,5.35,44%,56%,13,22,3,9,7,7,3,6,9,16,7,10,3,2,19,26,8,2,6,13,,,317,417,231,335,23,11,98,96,59,54,0,0,D
f1YYBA4T,03.06.2023 20:30,Parma,Cagliari,0,0,0.76,1.25,65%,35%,9,14,1,4,7,7,1,3,11,14,5,6,1,2,22,23,4,1,10,11,2,4,590,312,486,221,12,24,140,91,54,33,0,0,D
2RmMRMER,02.06.2023 20:30,Bari,Sudtirol,1,0,0.77,0.54,66%,34%,18,8,3,0,6,5,9,3,21,10,9,2,2,1,23,13,0,2,19,9,1,4,519,260,447,194,13,20,177,67,66,27,1,0,H
C8Djg6Kd,01.06.2023 20:30,Brescia,Cosenza,0,3,0.97,0.12,63%,37%,20,3,4,2,9,1,7,0,16,13,3,0,0,0,31,21,2,4,16,13,3,3,481,299,375,204,9,14,141,87,69,33,0,0,A
GAZUCjkN,30.05.2023 20:30,Cagliari,Parma,3,2,0.74,0.48,52%,48%,14,7,5,3,7,3,2,1,13,14,3,3,5,1,21,27,1,2,16,10,0,5,442,426,344,328,21,10,127,83,56,29,0,0,H
K2bHS2aL,29.05.2023 20:30,Sudtirol,Bari,1,0,0.62,0.26,44%,56%,8,6,2,3,3,2,3,1,12,12,3,1,0,0,20,18,3,1,10,11,,,453,586,375,503,6,12,129,100,37,25,0,0,H
jNjwp2sq,27.05.2023 20:30,Cagliari,Venezia,2,1,1.68,1.26,43%,57%,14,12,5,3,4,6,5,3,12,12,9,8,2,2,17,21,2,3,9,10,2,2,370,487,290,412,17,19,86,129,43,44,0,0,H
UDksqMdk,26.05.2023 20:30,Sudtirol,Reggio Calabria,1,0,0.15,0.96,49%,51%,4,18,1,8,1,10,2,0,15,15,3,8,0,2,16,17,8,0,11,15,3,2,418,418,328,338,9,12,117,112,40,50,0,0,H
8zmApEGd,25.05.2023 20:30,Cosenza,Brescia,1,0,1.59,0.43,43%,57%,12,14,5,2,4,6,3,6,14,12,3,5,1,1,19,24,2,4,12,11,2,4,335,447,237,341,19,12,108,135,57,47,0,0,H
