id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Red Cards_home,Red Cards_away,result
6kV1Hdyn,17.03.2024 16:15,Ascoli,Lecco,4,1,1.83,2.40,46%,54%,10,15,7,6,3,5,0,4,18,16,5,4,2,4,17,21,5,3,16,16,2,2,293,358,212,283,15,12,112,76,44,22,9,17,14,6,0,0,H
lEK6GGjh,16.03.2024 16:15,Bari,Sampdoria,0,1,1.68,0.94,52%,48%,14,11,3,4,6,2,5,5,10,19,7,5,1,5,16,15,3,3,8,17,3,3,422,398,348,314,8,14,106,96,53,26,17,19,27,12,0,0,A
0lOAFz6b,16.03.2024 16:15,Cittadella,Modena,1,1,0.63,1.23,55%,45%,9,14,3,4,2,4,4,6,13,16,6,5,2,0,24,32,3,2,14,13,2,2,429,355,301,228,10,13,116,101,32,38,21,19,10,4,0,0,D
UTFRBh5N,16.03.2024 16:15,Reggiana,Spezia,0,0,0.36,1.17,49%,51%,11,15,0,5,10,7,1,3,11,21,3,7,2,1,13,22,5,0,9,16,3,4,389,393,300,307,10,11,67,119,26,54,18,18,15,26,1,0,D
zg56QgTk,16.03.2024 14:00,Brescia,Catanzaro,1,1,1.14,0.90,50%,50%,18,13,3,6,9,4,6,3,10,17,9,6,1,3,17,7,5,2,7,15,2,2,425,435,366,376,10,9,97,72,49,35,18,19,23,11,0,0,D
fBNEEfL4,16.03.2024 14:00,Como,Pisa,3,1,1.62,0.86,45%,55%,10,9,6,2,2,5,2,2,15,19,1,2,2,3,28,14,1,3,11,17,4,2,395,482,322,403,12,22,78,96,37,29,12,10,17,8,0,0,H
Y1MIDEzB,16.03.2024 14:00,FeralpiSalo,Parma,1,2,0.68,0.81,45%,55%,11,17,2,5,6,5,3,7,12,12,4,9,5,0,17,7,3,1,11,6,1,1,377,478,307,414,19,13,113,105,48,55,8,24,30,15,0,0,A
OjFVACKT,16.03.2024 14:00,Sudtirol,Cremonese,3,0,1.05,1.49,38%,62%,7,18,4,2,3,12,0,4,13,10,0,7,3,3,17,13,2,1,9,6,,,327,493,231,426,9,11,79,137,22,87,30,9,4,40,0,0,H
0C6c6WSp,16.03.2024 14:00,Ternana,Cosenza,1,0,0.92,1.10,46%,54%,17,13,3,7,6,5,8,1,9,13,9,6,1,1,23,22,7,2,6,13,4,2,375,445,265,339,17,15,99,109,57,41,19,26,27,23,0,0,H
jwHNCYkH,15.03.2024 20:30,Palermo,Venezia,0,3,0.59,1.49,54%,46%,14,17,3,8,6,7,5,2,15,14,6,3,0,1,15,14,5,3,13,14,1,1,467,398,388,329,10,21,117,73,50,49,10,28,27,13,0,0,A
2JFnBLEC,11.03.2024 20:30,Sampdoria,Ascoli,2,1,1.54,1.16,62%,38%,16,12,6,2,8,8,2,2,31,18,7,3,3,2,16,19,1,4,14,27,3,3,422,260,304,153,21,12,116,102,46,27,16,28,18,14,0,0,H
CUMZDNUg,10.03.2024 16:15,Lecco,Palermo,0,1,1.09,0.83,56%,44%,17,7,3,4,9,1,5,2,11,17,7,3,0,2,38,18,3,3,16,6,1,0,438,369,350,274,15,18,115,88,68,32,12,25,39,16,0,0,A
