id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Goal Kicks_home,Goal Kicks_away,result
GSWiUyj5,30.05.2015 18:00,Bursaspor,Konyaspor,0,0,52%,48%,15,15,5,6,10,9,13,13,6,6,2,0,21,25,6,5,7,13,1,1,2,2,,,D
nmuyYJjt,30.05.2015 18:00,Mersin,Basaksehir,2,2,44%,56%,16,24,4,12,12,12,11,14,1,7,2,0,18,18,10,2,11,11,1,0,4,2,,,D
Ohz0SFKH,30.05.2015 18:00,Sivasspor,Trabzonspor,1,1,50%,50%,9,15,3,7,6,8,20,22,4,1,3,5,35,13,6,2,19,15,0,0,2,1,,,D
fDrqWcLh,30.05.2015 15:00,Fenerbahce,Kasimpasa,2,0,65%,35%,15,10,6,3,9,7,20,14,8,3,4,1,22,11,3,4,9,18,0,0,,,,,H
xxYmVHza,30.05.2015 12:00,Rizespor,Galatasaray,1,1,48%,52%,12,18,5,3,7,15,11,10,2,1,2,0,12,11,2,4,8,10,0,1,1,0,,,D
tAvuXw6n,29.05.2015 19:00,Balikesirspor,Gaziantepspor,1,1,52%,48%,20,10,8,5,12,5,17,25,11,6,1,0,17,17,4,7,24,14,0,0,5,2,,,D
IiT8QgkU,29.05.2015 19:00,Besiktas,Genclerbirligi,2,1,53%,47%,16,9,9,5,7,4,18,17,6,4,3,2,16,13,4,7,13,14,0,0,1,2,,,H
p2ydTe5B,29.05.2015 19:00,Eskisehirspor,Akhisarspor,1,3,57%,43%,19,9,8,3,11,6,18,17,5,1,3,0,19,12,0,7,13,18,0,1,3,3,,,A
6HP4RZZN,29.05.2015 16:00,Kayseri Erciyesspor,Kardemir Karabuk,4,3,46%,54%,12,11,7,4,5,7,13,15,2,5,5,0,14,13,1,3,12,11,0,1,3,0,,,H
K2jCZBAm,25.05.2015 19:00,Akhisarspor,Bursaspor,0,1,46%,54%,4,21,1,3,3,18,17,18,3,7,5,2,23,17,2,1,14,14,0,0,3,2,,,A
AiqPW9f6,25.05.2015 19:00,Basaksehir,Fenerbahce,2,2,48%,52%,14,13,5,8,9,5,21,18,3,5,3,2,16,27,6,3,14,16,0,4,2,6,,,D
SSgKXku0,24.05.2015 19:00,Galatasaray,Besiktas,2,0,48%,52%,12,17,4,4,8,13,21,18,4,6,0,3,24,19,4,2,18,15,0,0,3,2,,,H
d8oyU7vP,24.05.2015 13:00,Gaziantepspor,Eskisehirspor,3,2,46%,54%,15,14,9,7,6,7,15,24,3,5,1,1,22,15,5,6,23,14,1,0,5,2,,,H
tCi8zhes,24.05.2015 13:00,Kardemir Karabuk,Sivasspor,2,1,55%,45%,13,13,5,5,8,8,15,11,5,5,0,5,11,13,4,3,10,8,0,0,2,0,,,H
IHnXUmPI,23.05.2015 19:00,Trabzonspor,Balikesirspor,3,2,62%,38%,21,10,8,4,13,6,14,19,5,5,3,2,28,22,2,5,14,12,0,0,4,2,,,H
pvg9x0rP,23.05.2015 16:00,Konyaspor,Rizespor,1,1,66%,34%,19,11,2,4,17,7,23,11,10,1,1,3,26,11,3,1,9,20,0,0,0,2,,,D
OfmTVT9C,23.05.2015 13:00,Kasimpasa,Kayseri Erciyesspor,3,3,53%,47%,19,15,6,7,13,8,14,25,6,2,5,4,17,19,4,3,17,10,0,0,0,2,,,D
lxeGYVPg,22.05.2015 19:00,Genclerbirligi,Mersin,1,2,56%,44%,19,14,8,8,11,6,22,13,7,3,3,2,17,18,6,7,10,18,0,0,1,5,,,A
