id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result
QVu8RECk,19.05.2016 19:00,Ankaraspor,Akhisarspor,1,0,54%,46%,17,6,4,0,13,6,17,18,8,7,2,2,19,18,0,3,14,13,3,3,0,0,H
8EL6nGlF,19.05.2016 19:00,Galatasaray,Kayserispor,6,0,52%,48%,9,18,7,7,2,11,13,11,2,6,0,5,18,26,7,1,11,9,0,1,0,0,H
z1NblxK2,19.05.2016 19:00,Gaziantepspor,Antalyaspor,2,0,57%,43%,11,4,7,1,4,3,14,11,5,1,2,1,25,31,1,5,13,10,2,0,0,0,H
SpN4Sfcq,19.05.2016 19:00,Genclerbirligi,Eskisehirspor,3,1,,,,,,,,,,,,,,,,,,,,,,,0,0,H
8dAWp3DA,19.05.2016 19:00,Sivasspor,Fenerbahce,2,2,48%,52%,15,13,7,2,8,11,16,22,3,9,4,2,22,23,0,5,17,14,3,1,0,0,D
nm9zpNSG,19.05.2016 19:00,Trabzonspor,Kasimpasa,0,6,40%,60%,3,15,1,9,2,6,20,9,1,7,1,1,16,21,3,1,8,17,2,2,0,0,A
EiM2mdZ8,18.05.2016 19:00,Basaksehir,Rizespor,1,0,50%,50%,12,6,3,4,9,2,14,20,3,5,0,2,22,20,4,2,19,12,0,2,0,0,H
bqvGPhs2,18.05.2016 19:00,Mersin,Bursaspor,2,5,46%,54%,5,18,3,10,2,8,19,17,4,9,2,1,17,22,5,1,15,16,2,2,0,0,A
KhuCQYRe,18.05.2016 18:00,Konyaspor,Besiktas,2,1,41%,59%,11,14,5,5,6,9,9,18,5,7,3,0,15,26,4,3,14,9,1,2,0,0,H
lhw6UsTT,15.05.2016 18:00,Akhisarspor,Galatasaray,1,2,45%,55%,18,10,6,4,12,6,11,18,4,2,1,1,28,16,2,5,17,8,2,3,0,0,A
vN5Soqb4,15.05.2016 18:00,Besiktas,Ankaraspor,3,1,58%,42%,17,13,5,5,12,8,20,17,9,4,0,0,15,11,4,2,16,20,1,2,0,0,H
j1PXP1yo,15.05.2016 18:00,Fenerbahce,Genclerbirligi,2,1,58%,42%,17,11,4,5,13,6,24,19,10,7,1,6,23,15,4,2,15,18,3,2,0,0,H
0W6OnPrb,15.05.2016 18:00,Kasimpasa,Mersin,7,0,58%,42%,22,3,14,0,8,3,13,27,7,3,2,1,26,19,0,7,22,10,0,1,0,0,H
44DFloEo,14.05.2016 18:00,Eskisehirspor,Basaksehir,1,2,54%,46%,14,8,2,4,12,4,18,12,10,3,0,2,18,25,2,1,11,13,1,4,0,0,A
8tM8VNDN,14.05.2016 18:00,Kayserispor,Sivasspor,1,1,45%,55%,9,7,5,3,4,4,13,18,3,4,0,2,22,36,2,4,17,12,2,2,0,0,D
zTN0XqqB,14.05.2016 18:00,Rizespor,Gaziantepspor,1,0,43%,57%,1,15,1,6,0,9,17,13,1,7,2,2,17,37,6,0,11,15,2,0,0,0,H
UkN4W3bH,14.05.2016 15:00,Bursaspor,Konyaspor,1,1,45%,55%,14,10,6,2,8,8,13,22,7,3,3,1,29,18,1,5,17,12,5,2,0,0,D
I7HJm5Ti,13.05.2016 19:00,Antalyaspor,Trabzonspor,7,0,57%,43%,14,8,11,3,3,5,17,17,6,5,3,1,17,17,3,4,13,16,5,7,0,1,H
rZbNJQEB,09.05.2016 19:00,Basaksehir,Fenerbahce,2,1,47%,53%,7,15,5,8,2,7,18,21,1,4,6,1,14,35,7,3,15,16,2,3,0,0,H
WzRqySqn,09.05.2016 19:00,Konyaspor,Kasimpasa,2,0,55%,45%,7,14,5,7,2,7,12,17,2,4,1,0,37,22,7,3,12,12,1,2,0,0,H
hpSux8Uu,08.05.2016 19:00,Galatasaray,Besiktas,0,1,55%,45%,13,19,1,10,12,9,15,14,6,5,1,1,13,22,9,1,13,12,3,3,0,0,A
0AVmznah,08.05.2016 18:00,Mersin,Antalyaspor,0,1,42%,58%,7,11,2,5,5,6,15,17,2,6,3,1,21,20,4,2,12,12,2,1,0,1,A
GncVH4qO,08.05.2016 14:30,Trabzonspor,Rizespor,6,0,50%,50%,20,17,10,6,10,11,9,10,4,5,1,0,14,26,6,4,8,7,1,1,0,0,H
MPJdYPT4,08.05.2016 12:00,Akhisarspor,Kayserispor,1,1,53%,47%,11,9,8,1,3,8,14,23,2,5,3,2,17,29,0,7,20,12,3,0,0,0,D
MPcRIpUH,07.05.2016 18:00,Ankaraspor,Bursaspor,3,3,48%,52%,17,9,7,3,10,6,12,15,5,2,1,0,26,27,0,4,13,13,4,1,0,0,D
v1UiZ5Eb,07.05.2016 15:00,Gaziantepspor,Eskisehirspor,1,1,41%,59%,11,7,5,1,6,6,22,14,8,4,0,3,28,22,0,4,12,21,1,1,0,0,D
SM0ZGObU,07.05.2016 12:30,Sivasspor,Genclerbirligi,2,1,51%,49%,16,13,5,6,11,7,25,14,12,8,1,2,23,26,5,3,14,21,3,0,1,0,H
Qc4IK6a5,02.05.2016 19:00,Kasimpasa,Ankaraspor,1,1,45%,55%,11,15,5,4,6,11,18,24,2,4,2,0,15,26,3,4,20,15,4,2,1,0,D
n75ELnpa,01.05.2016 18:00,Antalyaspor,Konyaspor,1,0,48%,52%,11,10,3,2,8,8,23,17,5,4,2,3,21,28,2,2,14,19,1,3,0,0,H
21Ol5RaI,01.05.2016 18:00,Fenerbahce,Gaziantepspor,3,0,62%,38%,22,5,9,1,13,4,15,15,11,2,2,0,23,20,1,6,13,15,1,3,0,0,H
dIC1Ol0t,01.05.2016 15:00,Sivasspor,Akhisarspor,1,1,48%,52%,10,4,1,1,9,3,18,22,6,5,0,0,30,31,0,0,19,13,1,4,1,0,D
thNh4oFO,30.04.2016 18:00,Besiktas,Kayserispor,4,0,57%,43%,22,5,11,0,11,5,14,17,9,6,2,0,23,18,0,7,14,16,1,3,0,0,H
vs26N8Fn,30.04.2016 15:00,Eskisehirspor,Trabzonspor,1,0,55%,45%,19,5,5,1,14,4,23,19,6,2,1,4,17,29,1,4,16,17,2,5,0,1,H
KxZq67pC,30.04.2016 12:30,Genclerbirligi,Basaksehir,0,0,48%,52%,11,10,4,6,7,4,16,13,6,4,0,2,24,28,6,4,13,13,3,0,0,0,D
f9QZSUiP,29.04.2016 19:00,Bursaspor,Galatasaray,1,1,50%,50%,18,13,5,4,13,9,13,15,6,7,0,1,8,19,3,4,9,11,0,2,0,0,D
hp6AMSUh,29.04.2016 18:00,Rizespor,Mersin,2,0,57%,43%,19,14,8,4,11,10,10,9,4,3,0,2,14,21,4,6,7,8,0,1,0,0,H
KEjcFBNP,25.04.2016 19:00,Gaziantepspor,Genclerbirligi,1,3,46%,54%,3,19,2,9,1,10,14,16,2,8,2,2,17,21,6,1,14,11,2,3,0,0,A
SrA6hlGC,24.04.2016 19:00,Trabzonspor,Fenerbahce,0,4,44%,56%,7,13,2,6,5,7,19,14,2,7,2,1,19,23,2,2,12,16,2,2,0,0,A
