id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
td90GOXg,03.06.2017 16:00,Adanaspor AS,Fenerbahce,1,3,50%,50%,9,11,5,7,4,4,15,10,2,4,1,2,14,22,4,4,9,13,1,0,0,0,,,A
dnCCDMHC,03.06.2017 16:00,Besiktas,Ankaraspor,4,0,47%,53%,8,15,7,5,1,10,15,14,3,6,2,1,16,6,5,3,12,15,0,2,0,0,,,H
zwBGCtXI,03.06.2017 16:00,Galatasaray,Konyaspor,2,1,41%,59%,19,12,7,3,12,9,10,14,3,8,2,2,14,17,2,5,12,8,1,1,0,0,,,H
8QuVV3Xt,03.06.2017 16:00,Rizespor,Alanyaspor,1,0,49%,51%,5,20,2,8,3,12,5,19,4,9,1,0,18,18,8,1,16,5,2,0,0,0,,,H
nHvZUNnm,03.06.2017 16:00,Trabzonspor,Bursaspor,1,2,52%,48%,3,9,1,4,2,5,12,17,4,5,0,1,16,19,2,0,17,11,2,1,0,0,,,A
jog3zpPP,03.06.2017 13:00,Kayserispor,Basaksehir,0,1,43%,57%,6,14,4,4,2,10,11,14,4,4,2,0,12,18,3,4,11,12,,,0,0,,,A
2Bc9E226,02.06.2017 19:00,Antalyaspor,Gaziantepspor,4,1,51%,49%,7,11,5,5,2,6,7,17,1,1,2,1,17,17,4,1,13,5,1,2,0,0,,,H
OKb5Frm0,02.06.2017 16:00,Akhisarspor,Kardemir Karabuk,2,3,41%,59%,9,8,5,4,4,4,14,17,5,3,4,1,15,15,1,3,13,13,2,1,0,0,,,A
xrkayQ9J,02.06.2017 16:00,Genclerbirligi,Kasimpasa,1,0,49%,51%,8,10,3,4,5,6,17,21,8,7,6,1,29,20,4,2,15,16,0,1,0,0,,,H
l2pN253f,29.05.2017 19:00,Alanyaspor,Galatasaray,2,3,50%,50%,11,10,5,5,6,5,16,19,5,5,1,1,20,17,2,3,17,15,4,5,0,0,,,A
Mixz03mD,28.05.2017 18:00,Gaziantepspor,Besiktas,0,4,42%,58%,8,16,2,7,6,9,14,16,2,6,3,4,19,13,3,2,13,10,2,0,0,0,,,A
