id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
xhxATEmN,19.05.2018 18:00,Basaksehir,Kasimpasa,3,2,59%,41%,16,6,6,4,10,2,8,15,8,2,4,1,19,17,2,3,9,6,3,3,67,56,55,23,0,0,,,H
8CpgXdlb,19.05.2018 18:00,Besiktas,Sivasspor,5,1,55%,45%,16,6,10,3,6,3,15,17,7,4,1,3,13,14,2,5,16,11,3,4,82,45,47,21,0,1,,,H
n3qcWG34,19.05.2018 18:00,Fenerbahce,Konyaspor,3,2,54%,46%,14,12,7,9,7,3,12,11,7,4,2,4,22,26,7,4,7,8,0,3,59,55,39,45,0,0,,,H
rVx6UfYG,19.05.2018 18:00,Goztepe,Galatasaray,0,1,40%,60%,8,8,3,2,5,6,13,19,4,3,5,1,27,16,1,3,14,12,1,2,55,53,28,33,0,0,,,A
MenoZIJo,18.05.2018 17:00,Akhisarspor,Ankaraspor,2,1,56%,44%,13,14,10,4,3,10,10,7,3,3,0,1,13,10,3,8,7,8,,,85,70,65,64,0,0,,,H
0nokYxZi,18.05.2018 17:00,Alanyaspor,Antalyaspor,3,2,45%,55%,13,5,9,4,4,1,18,25,6,5,4,0,20,13,2,6,21,17,2,1,100,95,79,56,0,0,,,H
URY1VzJA,18.05.2018 17:00,Genclerbirligi,Bursaspor,1,0,52%,48%,9,10,4,4,5,6,15,13,3,5,3,0,23,22,4,3,8,16,,,134,126,66,77,0,0,,,H
GryESY2T,18.05.2018 17:00,Trabzonspor,Kardemir Karabuk,3,0,51%,49%,25,9,12,6,13,3,18,13,5,9,0,3,15,20,6,9,13,15,1,3,130,95,112,72,0,0,,,H
dxJtOhBp,18.05.2018 17:00,Yeni Malatyaspor,Kayserispor,3,2,46%,54%,8,17,3,11,5,6,6,6,3,9,3,0,19,21,9,1,3,6,0,1,79,91,51,76,0,0,,,H
EkPJIcZ4,14.05.2018 19:00,Kardemir Karabuk,Fenerbahce,0,7,37%,63%,3,21,3,14,0,7,14,13,2,12,2,1,12,17,7,3,11,13,2,2,77,112,33,114,0,0,,,A
