id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,result
KMAizPXA,26.05.2019 18:00,Fenerbahce,Antalyaspor,3,1,53%,47%,17,16,6,3,7,8,4,5,14,20,4,4,5,2,2,3,16,12,1,3,468,413,417,360,17,16,67,53,60,50,0,0,,,H
nXIvwRmh,26.05.2019 18:00,Goztepe,Ankaragucu,2,1,33%,67%,11,7,5,4,5,2,1,1,24,10,4,6,2,2,3,3,8,23,0,2,208,412,128,339,25,14,78,104,66,61,0,0,,,H
EqAeZrmH,26.05.2019 18:00,Kayserispor,Erzurumspor,0,2,49%,51%,20,16,7,6,7,8,6,2,13,10,10,4,1,4,4,7,9,9,,,467,494,418,442,14,15,85,106,70,72,1,0,,,A
0vFFvvPd,26.05.2019 18:00,Yeni Malatyaspor,Bursaspor,1,2,45%,55%,10,9,4,5,3,2,3,2,24,10,5,2,2,2,3,3,8,22,7,3,371,473,296,413,14,13,74,111,63,70,2,1,,,A
j9XOHGHq,25.05.2019 18:00,Konyaspor,Akhisarspor,0,0,61%,39%,18,14,7,5,6,9,5,0,11,12,6,5,2,1,5,7,9,10,2,0,576,361,494,288,8,10,120,86,102,65,0,0,,,D
QNHrxo3b,24.05.2019 20:00,Besiktas,Kasimpasa,3,2,59%,41%,13,16,4,6,7,8,2,2,13,14,3,5,2,2,4,1,12,10,3,0,653,439,589,371,22,19,136,98,78,63,1,0,,,H
8pSTGzXk,24.05.2019 20:00,Rizespor,Trabzonspor,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,A
8n7my5I4,24.05.2019 20:00,Sivasspor,Galatasaray,4,3,45%,55%,30,7,14,4,8,2,8,1,11,12,9,1,2,1,1,10,10,10,2,1,432,528,376,455,13,13,104,80,84,43,0,0,,,H
nyRXFfnd,24.05.2019 17:00,Basaksehir,Alanyaspor,1,1,57%,43%,11,17,3,7,6,10,2,0,11,14,5,6,2,3,6,2,12,9,,,552,401,466,331,13,13,127,103,86,72,0,0,,,D
4jbKyHiI,20.05.2019 19:00,Ankaragucu,Sivasspor,3,1,51%,49%,14,10,6,4,4,5,4,1,8,18,8,3,3,1,3,3,15,7,4,1,470,451,394,372,12,21,89,93,62,68,0,0,,,H
IcEzv7Yo,20.05.2019 19:00,Erzurumspor,Fenerbahce,0,1,39%,61%,14,10,3,3,7,6,4,1,15,9,8,2,2,2,2,3,8,13,4,5,313,521,242,427,14,13,94,79,71,45,0,0,,,A
QPUBuahg,19.05.2019 18:00,Alanyaspor,Rizespor,1,1,41%,59%,16,12,5,3,9,4,2,5,20,14,5,6,1,4,2,4,14,17,3,1,327,491,236,400,18,16,75,89,73,69,0,0,,,D
bDcOzy7O,19.05.2019 18:00,Galatasaray,Basaksehir,2,1,51%,49%,15,5,4,2,7,3,4,0,12,18,8,1,5,0,1,2,14,12,4,3,387,369,307,292,8,12,85,89,63,42,0,0,,,H
KnUFvJ7a,19.05.2019 15:00,Akhisarspor,Kayserispor,2,2,40%,60%,16,21,4,8,9,9,3,4,9,19,5,7,4,1,6,2,15,10,3,2,354,525,295,466,14,10,67,84,58,61,0,0,,,D
bwTJwwN5,19.05.2019 15:00,Bursaspor,Goztepe,0,0,64%,36%,14,2,3,1,7,1,4,0,13,19,5,2,2,3,1,3,19,10,3,1,414,242,313,133,11,19,102,79,88,46,0,0,,,D
QaaGxcxC,18.05.2019 18:00,Antalyaspor,Yeni Malatyaspor,3,0,55%,45%,17,12,5,2,10,6,2,4,17,17,5,4,1,3,2,2,16,13,2,4,406,340,368,292,14,9,67,66,51,51,0,1,,,H
CG1SZfMU,18.05.2019 18:00,Trabzonspor,Besiktas,2,1,42%,58%,19,8,8,3,10,3,1,2,11,14,7,4,2,2,2,6,12,9,3,2,372,523,302,438,16,18,95,115,77,75,0,0,,,H
v7FWvmJu,17.05.2019 19:30,Kasimpasa,Konyaspor,1,1,49%,51%,18,12,3,4,7,6,8,2,13,13,6,7,0,4,3,2,13,9,1,1,488,545,420,471,15,14,89,92,69,66,0,0,,,D
6q4tQJh6,13.05.2019 19:00,Besiktas,Alanyaspor,2,1,57%,43%,12,9,4,3,6,6,2,0,26,19,2,5,2,5,2,2,17,20,2,1,490,350,398,253,16,13,126,92,65,60,0,0,,,H
YV5YRuOg,12.05.2019 18:00,Basaksehir,Ankaragucu,2,1,61%,39%,20,8,7,1,6,5,7,2,13,13,5,2,1,1,0,5,12,12,0,1,581,371,484,268,14,15,118,73,90,61,0,0,,,H
0rckOcNI,12.05.2019 18:00,Yeni Malatyaspor,Erzurumspor,3,1,50%,50%,15,21,9,5,3,11,3,5,19,18,4,9,2,1,4,6,16,18,3,4,378,369,306,313,11,8,80,75,66,85,0,0,,,H
vZegNHxP,12.05.2019 15:00,Kayserispor,Kasimpasa,2,1,69%,31%,19,7,6,6,7,0,6,1,16,12,13,5,1,2,5,4,11,15,4,4,466,219,402,149,10,17,93,71,106,50,0,1,,,H
Slkyn1FP,12.05.2019 15:00,Konyaspor,Trabzonspor,2,2,38%,62%,7,19,4,6,2,9,1,4,13,15,5,5,2,2,4,2,13,11,4,1,318,534,237,451,9,11,102,103,51,72,0,0,,,D
CM4xRaw0,11.05.2019 18:00,Fenerbahce,Akhisarspor,2,1,58%,42%,10,5,5,1,3,3,2,1,25,17,2,1,0,1,0,3,17,26,3,3,555,409,484,331,12,14,115,76,75,40,0,0,,,H
IJ7pPw8C,11.05.2019 18:00,Goztepe,Sivasspor,3,3,49%,51%,20,9,8,4,9,4,3,1,14,17,6,1,3,4,1,5,14,10,3,0,436,461,351,373,13,15,128,112,86,70,1,0,,,D
Ucy3sLNt,11.05.2019 15:00,Rizespor,Galatasaray,2,3,50%,50%,13,12,3,5,9,4,1,3,11,19,3,1,3,1,2,1,17,10,5,1,309,317,252,244,9,20,70,75,58,58,1,0,,,A
CMQ7tuwm,10.05.2019 19:30,Antalyaspor,Bursaspor,0,1,57%,43%,3,16,1,5,2,10,0,1,21,14,0,8,2,1,4,1,13,20,4,3,489,358,379,260,8,9,100,91,64,77,1,0,,,A
KOPcYsoQ,06.05.2019 19:30,Alanyaspor,Konyaspor,2,4,64%,36%,18,8,7,4,10,3,1,1,15,19,11,6,2,2,0,5,16,13,3,6,428,248,344,158,14,14,125,100,103,63,0,0,,,A
x4CPT1gs,06.05.2019 19:30,Trabzonspor,Kayserispor,4,2,55%,45%,19,16,7,5,7,6,5,5,12,16,5,3,1,2,3,3,14,10,2,3,501,397,406,310,20,11,117,108,67,67,0,0,,,H
6LLgZNVJ,05.05.2019 18:00,Galatasaray,Besiktas,2,0,45%,55%,16,14,7,5,4,5,5,4,19,20,5,3,6,2,5,5,14,17,2,6,291,349,206,259,12,15,87,92,59,71,0,0,,,H
QPr7BKwD,05.05.2019 15:00,Akhisarspor,Yeni Malatyaspor,0,2,56%,44%,19,12,5,4,8,7,6,1,18,16,5,3,4,2,2,5,13,16,2,3,440,361,373,270,13,10,109,98,91,50,0,0,,,A
4GsBAvgJ,05.05.2019 15:00,Goztepe,Antalyaspor,4,1,52%,48%,17,9,11,1,1,4,5,4,9,8,6,0,2,1,0,7,7,9,0,6,475,444,407,377,11,11,80,67,76,42,0,1,,,H
GfBTSL8m,04.05.2019 18:00,Kasimpasa,Fenerbahce,1,3,38%,62%,9,14,2,6,6,5,1,3,16,17,5,9,2,5,3,1,15,12,5,0,335,547,270,470,6,15,92,95,48,81,0,0,,,A
