id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
M76XdBFM,26.07.2020 16:00,Kasimpasa,Basaksehir,3,2,48%,52%,15,16,5,4,4,8,6,4,1,7,0,3,2,2,6,7,1,2,508,541,7,5,93,98,51,87,0,0,,,,,,,H
6ur4ikwp,25.07.2020 20:00,Denizlispor,Ankaragucu,0,1,44%,56%,18,6,5,2,9,3,4,1,6,0,1,1,1,5,12,11,2,1,358,465,15,16,99,86,65,26,0,0,,,,,,,A
84ObDWa3,25.07.2020 20:00,Fenerbahce,Rizespor,3,1,59%,41%,9,17,6,10,3,5,0,2,8,5,2,3,9,3,12,15,1,0,516,348,15,19,109,74,74,65,0,0,,,,,,,H
4WexdVUS,25.07.2020 20:00,Genclerbirligi,Besiktas,0,3,39%,61%,14,10,4,5,6,4,4,1,7,4,2,5,2,4,15,12,2,3,278,453,14,10,88,89,63,64,0,0,,,,,,,A
842Tci0G,25.07.2020 20:00,Goztepe,Sivasspor,3,1,49%,51%,8,25,3,6,4,10,1,9,2,6,5,4,5,0,13,14,3,3,420,403,17,13,83,104,49,87,1,0,,,,,,,H
hdtCkT7d,25.07.2020 20:00,Kayserispor,Trabzonspor,1,2,52%,48%,22,16,6,8,9,4,7,4,6,5,1,0,6,5,18,14,2,1,463,422,12,16,52,53,63,63,0,0,,,,,,,A
E5s8j9hj,25.07.2020 20:00,Konyaspor,Alanyaspor,2,3,49%,51%,13,17,4,5,9,10,0,2,4,1,3,1,2,2,9,10,1,2,424,436,8,9,81,92,54,76,0,0,,,,,,,A
f1KfECpc,25.07.2020 20:00,Yeni Malatyaspor,Gaziantep,0,1,47%,53%,9,12,3,7,4,3,2,2,2,5,5,0,6,3,14,9,1,0,428,476,14,13,110,114,72,84,0,0,,,,,,,A
2RN2CjF9,24.07.2020 20:00,Antalyaspor,Galatasaray,2,2,43%,57%,13,8,7,3,6,2,0,3,10,3,4,6,1,5,12,12,0,1,341,458,11,10,70,90,59,51,0,0,,,,,,,D
Es3PbXpA,19.07.2020 20:00,Alanyaspor,Denizlispor,1,0,64%,36%,19,10,4,2,12,6,3,2,6,4,1,0,2,3,7,14,1,1,,,,,95,80,80,42,0,0,,,,,,,H
EoJQwW8p,19.07.2020 20:00,Ankaragucu,Antalyaspor,0,1,41%,59%,19,9,6,5,8,3,5,1,9,6,0,2,4,6,18,16,4,3,,,,,82,100,73,81,0,1,,,,,,,A
zi4LaDV3,19.07.2020 20:00,Basaksehir,Kayserispor,1,0,48%,52%,20,6,4,3,12,3,4,0,9,4,0,1,3,3,12,12,2,0,424,470,16,11,99,100,67,54,0,0,,,,,,,H
vPAC1Z0i,19.07.2020 20:00,Besiktas,Fenerbahce,2,0,52%,48%,13,17,7,5,5,6,1,6,3,6,4,1,5,5,18,19,3,4,,,,,62,74,54,62,0,1,,,,,,,H
0vwjpYVG,19.07.2020 20:00,Rizespor,Yeni Malatyaspor,3,0,55%,45%,12,13,9,4,2,5,1,4,4,6,1,1,4,6,16,16,3,1,,,,,96,92,50,62,0,0,,,,,,,H
QLMUxjOj,19.07.2020 20:00,Sivasspor,Genclerbirligi,2,0,44%,56%,14,9,6,5,8,2,0,2,3,6,6,3,5,4,14,9,2,1,,,,,89,108,72,87,0,0,,,,,,,H
UDsfqhoN,19.07.2020 20:00,Trabzonspor,Konyaspor,3,4,60%,40%,16,9,7,6,6,2,3,1,5,6,1,0,2,4,15,8,2,0,,,,,109,83,79,51,0,0,,,,,,,A
84tbrC0T,18.07.2020 20:00,Galatasaray,Goztepe,3,1,55%,45%,14,10,4,3,6,4,4,3,5,2,3,2,2,1,16,11,2,2,446,364,11,15,99,76,71,44,0,0,,,,,,,H
IF9G0gGc,18.07.2020 20:00,Gaziantep,Kasimpasa,2,2,54%,46%,12,12,4,4,6,6,2,2,7,5,1,2,2,2,12,10,2,0,510,430,13,19,79,87,69,63,0,0,12,13,,,,,D
zJ4NrLfC,13.07.2020 20:00,Denizlispor,Trabzonspor,2,1,41%,59%,13,23,5,4,4,11,4,8,3,9,0,1,3,3,13,20,0,3,338,487,14,9,92,112,57,94,0,0,,,,,,,H
WboZmGWi,13.07.2020 20:00,Konyaspor,Basaksehir,4,3,49%,51%,16,17,5,5,7,6,4,6,3,6,1,2,2,1,8,10,5,3,417,411,7,12,79,83,54,66,0,0,,,,,,,H
vPlsnf14,13.07.2020 20:00,Yeni Malatyaspor,Besiktas,0,1,46%,54%,13,6,2,3,9,3,2,0,3,6,5,1,2,2,13,14,0,2,361,433,15,12,122,114,86,86,0,0,,,,,,,A
Uu4RsuAI,13.07.2020 17:30,Kasimpasa,Rizespor,2,0,51%,49%,12,5,6,0,5,4,1,1,10,3,2,1,0,4,17,14,1,2,397,405,15,10,75,71,75,46,0,0,,,,,,,H
QLpwmznb,13.07.2020 17:30,Kayserispor,Gaziantep,1,1,56%,44%,12,13,9,6,1,6,2,1,1,2,7,3,5,8,12,17,1,4,502,388,20,24,106,83,82,72,2,0,,,,,,,D
h8nVldHo,12.07.2020 20:00,Antalyaspor,Alanyaspor,1,0,40%,60%,12,11,2,4,8,5,2,2,8,2,2,0,4,1,10,11,1,2,341,513,13,18,89,106,72,66,0,0,2,4,,,,,H
MF0Jq1u6,12.07.2020 20:00,Fenerbahce,Sivasspor,1,2,69%,31%,12,13,3,4,8,6,1,3,6,4,1,2,2,2,15,21,3,3,567,251,11,11,83,77,67,43,0,0,,,,,,,A
MmvnoEGA,12.07.2020 17:30,Ankaragucu,Galatasaray,1,0,30%,70%,14,18,5,2,8,9,1,7,6,11,0,2,2,4,12,10,4,4,269,625,15,9,81,142,40,96,0,0,,,,,,,H
65RfQCvo,11.07.2020 20:00,Goztepe,Genclerbirligi,1,3,65%,35%,16,5,7,3,4,1,5,1,6,0,4,1,0,6,6,13,2,1,565,316,10,13,121,70,86,35,0,0,,,,,,,A
hz92mqts,09.07.2020 20:00,Besiktas,Kasimpasa,3,2,53%,47%,16,14,6,4,7,7,3,3,4,7,3,2,2,3,12,14,3,1,469,400,11,16,81,80,66,64,0,0,,,,,,,H
00CAoNAg,09.07.2020 20:00,Gaziantep,Konyaspor,3,1,55%,45%,18,15,8,8,8,6,2,1,9,5,0,2,7,5,15,9,3,5,438,386,9,11,104,75,85,40,0,0,,,,,,,H
WQ76n3em,09.07.2020 17:30,Rizespor,Kayserispor,3,2,46%,54%,14,17,8,4,3,4,3,9,1,5,2,0,2,5,16,15,3,3,393,474,21,15,76,77,67,57,0,1,,,,,,,H
MFvlULuJ,08.07.2020 20:00,Alanyaspor,Galatasaray,4,1,32%,68%,13,21,6,6,5,11,2,4,6,10,3,3,5,2,7,6,1,1,289,623,12,9,71,105,49,86,0,0,,,,,,,H
ngWZiPXP,08.07.2020 20:00,Goztepe,Ankaragucu,2,2,51%,49%,10,16,5,7,3,8,2,1,1,3,2,1,5,3,14,21,2,4,408,389,16,10,109,99,63,72,0,0,,,,,,,D
rPupV1QC,08.07.2020 17:30,Sivasspor,Yeni Malatyaspor,0,1,65%,35%,11,8,1,4,8,3,2,1,6,0,2,1,3,1,8,16,1,3,506,286,12,17,121,88,80,46,0,0,,,,,,,A
