id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,result
nNXGDbVd,15.05.2021 19:30,Galatasaray,Yeni Malatyaspor,3,1,68%,32%,33,5,10,1,15,4,8,0,15,0,5,1,0,7,8,12,554,280,14,23,162,104,144,43,,,0,0,,,H
KCPTAdFF,15.05.2021 19:30,Goztepe,Besiktas,1,2,40%,60%,9,14,3,3,6,6,0,5,3,6,1,0,1,2,17,13,338,511,29,19,96,126,42,84,1,1,0,0,,,A
EZOX9GUL,15.05.2021 19:30,Kayserispor,Fenerbahce,1,2,23%,77%,9,9,3,4,5,1,1,4,2,11,1,2,2,2,14,10,191,592,19,9,67,126,32,131,5,2,1,0,,,A
QDWKCIp3,15.05.2021 19:30,Trabzonspor,Genclerbirligi,2,1,64%,36%,20,9,11,4,3,5,6,0,9,2,2,1,3,9,7,8,637,346,14,15,150,111,99,73,1,2,0,0,,,H
CA483E7k,15.05.2021 17:00,Ankaragucu,Alanyaspor,0,1,44%,56%,10,21,3,9,2,9,5,3,6,3,1,3,8,3,11,18,400,516,11,12,85,83,44,65,2,1,0,0,,,A
hQNy9zpS,15.05.2021 17:00,Antalyaspor,Konyaspor,0,0,58%,42%,10,8,3,3,5,4,2,1,1,4,1,0,3,3,13,16,616,430,17,10,73,88,56,81,3,2,0,0,,,D
b7vZlFhd,15.05.2021 17:00,Hatayspor,Gaziantep,0,1,67%,33%,12,9,4,4,4,4,4,1,3,1,3,0,3,4,12,14,552,267,17,21,116,85,84,41,1,1,0,0,,,A
YJ544fhq,15.05.2021 17:00,Karagumruk,Denizlispor,5,1,71%,29%,24,8,11,3,8,3,5,2,6,0,3,1,2,6,13,16,590,236,14,13,85,52,80,21,0,2,0,1,,,H
8xMPBx09,15.05.2021 17:00,Rizespor,Basaksehir,0,2,38%,62%,14,9,5,3,7,5,2,1,6,1,2,0,1,5,12,8,412,712,11,11,105,89,70,35,1,0,0,0,,,A
6X3C2YMe,15.05.2021 17:00,Sivasspor,Kasimpasa,2,1,57%,43%,19,6,9,3,8,1,2,2,7,1,1,1,2,7,14,11,489,382,13,18,92,80,88,40,2,3,0,0,,,H
KGuVkewj,11.05.2021 19:30,Alanyaspor,Erzurumspor,2,3,63%,37%,13,10,6,6,5,1,2,3,7,2,6,3,3,4,18,11,567,325,13,12,72,58,69,48,4,1,0,0,,,A
hSfpDRvn,11.05.2021 19:30,Basaksehir,Kayserispor,0,0,74%,26%,3,7,0,2,1,3,2,2,1,6,4,0,2,0,7,7,899,294,11,11,115,81,47,42,1,1,0,0,,,D
QFNd83gH,11.05.2021 19:30,Besiktas,Karagumruk,1,2,53%,47%,17,5,5,5,8,0,4,0,8,2,4,0,3,4,21,19,428,405,23,17,95,64,88,31,2,7,0,1,,,A
QughB59b,11.05.2021 19:30,Denizlispor,Galatasaray,1,4,43%,57%,7,19,3,10,2,8,2,1,1,6,0,3,6,2,12,6,393,493,18,19,74,93,35,92,5,0,1,0,,,A
vPjtE7Pu,11.05.2021 19:30,Fenerbahce,Sivasspor,1,2,61%,39%,19,14,7,3,9,7,3,4,8,1,1,3,1,6,14,9,531,332,12,16,118,78,98,38,2,3,0,0,,,A
WhOh9qvB,11.05.2021 19:30,Gaziantep,Rizespor,4,5,60%,40%,19,10,7,6,7,2,5,2,9,3,2,3,1,3,14,12,408,281,11,16,144,83,104,40,4,2,0,0,,,A
xhjQjyOq,11.05.2021 19:30,Genclerbirligi,Goztepe,5,3,43%,57%,16,6,9,3,5,3,2,0,4,5,0,0,1,4,8,17,378,503,11,14,75,75,43,35,2,2,0,0,27,14,H
h2PlAPO4,11.05.2021 19:30,Kasimpasa,Ankaragucu,3,1,41%,59%,10,16,5,7,3,7,2,2,2,3,1,1,6,2,27,12,315,442,15,10,74,95,71,90,4,3,0,0,,,H
E1PZhOgU,11.05.2021 19:30,Yeni Malatyaspor,Hatayspor,1,1,59%,41%,12,11,4,2,3,9,5,0,5,4,0,2,1,3,12,14,481,330,7,15,61,64,44,41,2,1,0,0,,,D
nkflCofh,11.05.2021 16:00,Konyaspor,Trabzonspor,1,1,42%,58%,26,10,6,5,13,4,7,1,10,1,4,0,4,5,10,7,380,577,17,11,88,100,79,44,2,2,0,1,,,D
0YV6a8An,08.05.2021 19:30,Ankaragucu,Fenerbahce,1,2,31%,69%,15,19,5,7,5,8,5,4,5,12,2,1,5,4,17,10,241,498,11,10,82,111,50,93,2,0,0,0,,,A
6yMRfpPH,08.05.2021 19:30,Erzurumspor,Kasimpasa,0,1,58%,42%,12,13,2,3,9,8,1,2,3,4,3,1,2,2,8,16,427,311,6,15,86,85,70,54,0,5,1,1,,,A
vPUAbSPh,08.05.2021 19:30,Galatasaray,Besiktas,3,1,40%,60%,9,7,5,2,2,4,2,1,4,5,3,2,1,2,18,18,316,470,16,16,86,85,55,61,4,3,0,0,,,H
pMXId6f5,08.05.2021 19:30,Goztepe,Konyaspor,0,1,59%,41%,8,10,3,6,2,2,3,2,5,3,1,1,5,3,12,9,533,380,19,12,71,67,53,34,3,0,0,0,,,A
SpNNeQ9B,08.05.2021 19:30,Hatayspor,Denizlispor,1,0,51%,49%,14,11,3,2,10,4,1,5,1,3,4,0,2,2,11,8,422,413,14,17,82,87,66,43,1,1,0,0,,,H
YoUEcnua,08.05.2021 19:30,Karagumruk,Genclerbirligi,5,1,56%,44%,14,8,7,2,3,3,4,3,8,6,0,3,1,2,20,10,505,383,14,14,69,72,62,55,2,2,0,0,,,H
rcy20let,08.05.2021 19:30,Kayserispor,Gaziantep,0,0,55%,45%,10,11,2,1,7,4,1,6,5,3,3,2,1,2,9,12,487,397,17,11,69,69,58,45,2,2,0,0,,,D
Sp1htoAO,08.05.2021 19:30,Rizespor,Yeni Malatyaspor,0,4,53%,47%,8,12,1,9,4,2,3,1,4,3,3,0,5,1,10,10,490,440,11,15,79,69,73,51,3,0,1,0,,,A
tlkz5UnP,08.05.2021 19:30,Sivasspor,Basaksehir,0,0,42%,58%,11,7,2,2,7,3,2,2,5,7,0,1,2,2,6,8,461,661,19,14,68,74,47,46,0,2,0,0,,,D
zBQVg4vO,08.05.2021 19:30,Trabzonspor,Antalyaspor,2,1,61%,39%,14,7,8,2,4,4,2,1,5,3,5,4,1,6,11,14,587,368,10,19,74,62,52,42,1,3,0,0,,,H
EsclsRfI,03.05.2021 19:30,Fenerbahce,Erzurumspor,3,1,60%,40%,28,11,10,2,10,6,8,3,10,5,2,1,1,7,17,12,654,412,14,5,129,107,110,77,0,3,0,0,,,H
h4UdiBIP,03.05.2021 19:30,Gaziantep,Sivasspor,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,A
6BAXp9eg,03.05.2021 15:00,Basaksehir,Ankaragucu,2,1,70%,30%,8,8,3,3,3,2,2,3,7,5,2,1,2,1,10,10,693,280,8,15,83,63,62,42,3,5,0,0,,,H
