id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
EJQdM0rN,22.05.2022 18:00,Adana Demirspor,Goztepe,7,0,58%,42%,23,6,10,1,8,5,5,0,2,1,1,1,1,3,11,8,0,2,540,388,475,322,11,9,83,73,66,56,0,0,H
QaPLKm7I,22.05.2022 18:00,Hatayspor,Giresunspor,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,H
UVvyROTi,22.05.2022 15:00,Basaksehir,Trabzonspor,3,1,41%,59%,12,14,4,6,5,5,3,3,3,7,0,1,5,1,20,11,2,0,374,517,317,454,14,15,76,90,49,63,0,0,H
n7ZuQrqb,22.05.2022 15:00,Karagumruk,Alanyaspor,0,1,47%,53%,17,18,5,6,7,8,5,4,8,7,4,1,5,5,11,14,1,2,419,485,352,406,11,13,93,97,74,65,0,0,A
KKXmOMDA,21.05.2022 18:00,Besiktas,Konyaspor,1,1,54%,46%,21,12,5,1,6,9,10,2,7,5,2,2,0,4,19,11,3,3,419,356,331,267,20,18,97,82,102,61,0,0,D
WfyhNtTG,21.05.2022 18:00,Yeni Malatyaspor,Fenerbahce,0,5,31%,69%,7,29,4,12,2,8,1,9,0,10,1,2,7,4,8,8,1,3,281,612,221,569,13,14,63,76,26,80,1,0,A
xxhk3Lyo,21.05.2022 15:00,Altay,Kasimpasa,2,4,41%,59%,12,12,7,6,4,6,1,0,6,3,1,4,2,5,11,12,0,1,315,466,236,382,18,18,79,96,57,61,0,0,A
QcYqP2b4,21.05.2022 15:00,Sivasspor,Kayserispor,2,1,53%,47%,9,5,6,2,1,0,2,3,3,5,4,1,1,4,10,8,,,516,439,433,368,15,12,135,107,85,83,0,0,H
jutXR4Eo,20.05.2022 19:00,Antalyaspor,Galatasaray,1,1,42%,58%,14,13,3,3,8,10,3,0,5,6,1,3,2,2,13,10,2,2,335,471,261,400,16,12,75,103,54,65,0,0,D
hAP0LKcT,20.05.2022 19:00,Gaziantep,Rizespor,2,0,51%,49%,21,11,6,6,7,3,8,2,8,6,1,3,6,4,9,11,2,0,458,443,399,381,12,19,90,90,80,66,0,0,H
ITx5OV7g,16.05.2022 19:00,Galatasaray,Adana Demirspor,3,2,52%,48%,20,10,9,4,5,5,6,1,7,1,3,2,2,6,15,11,3,2,395,382,339,320,18,19,76,75,72,41,0,0,H
z5m0PBhm,16.05.2022 19:00,Rizespor,Sivasspor,1,2,49%,51%,9,14,3,3,5,8,1,3,3,6,2,1,1,2,11,12,2,3,507,519,430,441,17,16,128,123,57,72,0,0,A
ANFw8ANC,15.05.2022 18:00,Alanyaspor,Gaziantep,3,0,52%,48%,20,11,8,3,6,7,6,1,5,2,4,2,3,5,17,10,3,3,433,407,376,341,13,9,117,84,88,50,0,0,H
lEEs7UxJ,15.05.2022 18:00,Fenerbahce,Karagumruk,0,0,60%,40%,16,12,6,4,7,6,3,2,8,5,0,2,4,6,11,2,4,1,564,371,507,311,18,21,81,56,70,53,0,0,D
dKy9NkNa,15.05.2022 18:00,Giresunspor,Basaksehir,1,1,42%,58%,9,8,3,2,5,4,1,2,4,5,1,2,1,2,13,7,4,2,403,553,326,475,17,14,92,120,55,88,0,0,D
M1qdQiws,15.05.2022 18:00,Kasimpasa,Antalyaspor,2,4,51%,49%,16,20,4,8,8,6,4,6,3,6,1,3,4,2,9,7,3,2,416,393,331,322,12,16,87,81,57,64,0,0,A
ryzHLTiC,15.05.2022 18:00,Konyaspor,Hatayspor,3,1,66%,34%,22,7,7,1,13,4,2,2,7,2,6,0,0,4,10,13,1,2,460,244,392,164,15,10,64,55,68,33,0,0,H
QVcQVDFJ,15.05.2022 15:00,Goztepe,Besiktas,0,2,62%,38%,18,8,7,3,8,3,3,2,5,1,3,4,1,7,20,10,6,4,458,287,384,206,12,12,93,63,71,40,1,2,A
4pyDM9x6,15.05.2022 15:00,Trabzonspor,Altay,2,1,71%,29%,16,5,3,3,8,2,5,0,5,1,1,0,2,2,6,6,1,0,762,306,685,232,8,11,94,56,77,33,0,0,H
4MdUUXUP,14.05.2022 18:00,Kayserispor,Yeni Malatyaspor,3,0,59%,41%,11,12,6,3,4,5,1,4,6,1,1,1,3,3,16,19,1,3,511,354,424,300,25,19,121,100,60,58,0,0,H
d09NBhOm,09.05.2022 19:00,Antalyaspor,Konyaspor,3,2,50%,50%,16,15,6,4,7,10,3,1,2,5,1,2,2,3,13,10,1,2,396,385,324,319,18,15,84,82,62,76,0,0,H
zi8RACwf,08.05.2022 18:00,Besiktas,Fenerbahce,1,1,40%,60%,9,8,3,2,6,4,0,2,6,8,2,2,1,2,22,13,6,3,258,390,176,302,15,19,79,99,77,72,0,0,D
xdxceXw7,08.05.2022 15:00,Altay,Giresunspor,1,1,49%,51%,17,8,5,2,9,3,3,3,8,5,3,2,1,4,10,15,1,4,360,384,295,313,20,15,90,98,89,44,0,0,D
G0GZ8j86,08.05.2022 15:00,Yeni Malatyaspor,Rizespor,1,3,37%,63%,13,12,2,8,7,2,4,2,4,6,4,5,5,1,9,11,1,2,358,600,306,536,13,15,83,88,54,67,0,0,A
QHIiHE0Q,07.05.2022 18:00,Adana Demirspor,Alanyaspor,1,2,46%,54%,14,11,6,5,5,5,3,1,6,3,7,3,3,5,12,22,3,4,361,431,285,368,7,22,101,106,75,68,0,0,A
UkPrJzWD,07.05.2022 18:00,Basaksehir,Galatasaray,0,0,58%,42%,21,11,10,4,6,5,5,2,10,3,0,0,4,10,9,4,,,582,416,515,342,12,14,104,92,84,54,0,0,D
IFcW9Wh0,07.05.2022 15:00,Karagumruk,Goztepe,3,1,60%,40%,19,5,7,1,7,2,5,2,7,4,0,2,0,4,14,10,2,1,510,343,439,275,7,13,74,65,65,34,0,0,H
Gny1figD,07.05.2022 15:00,Sivasspor,Kasimpasa,1,3,45%,55%,14,10,4,4,10,3,0,3,3,4,4,2,1,3,14,15,2,2,372,454,282,357,15,8,100,83,53,54,0,0,A
SQ4JCY8s,06.05.2022 19:00,Gaziantep,Kayserispor,1,1,52%,48%,12,8,4,4,6,2,2,2,4,3,0,3,3,3,14,6,1,3,521,477,463,5,16,20,104,83,69,40,0,0,D
rgTnIfoK,06.05.2022 19:00,Hatayspor,Trabzonspor,1,1,44%,56%,10,15,5,6,3,8,2,1,10,4,4,3,5,4,12,9,1,0,366,511,296,439,19,5,97,108,87,61,0,0,D
4ntL3eWQ,01.05.2022 19:30,Galatasaray,Sivasspor,2,3,55%,45%,10,14,3,5,3,6,4,3,6,1,1,2,2,1,10,17,2,4,486,399,403,319,17,19,101,103,56,66,0,0,A
dpLadDO0,01.05.2022 19:30,Goztepe,Rizespor,1,7,55%,45%,19,13,5,7,9,5,5,1,7,1,3,1,0,4,8,7,1,0,487,413,418,355,11,12,119,89,84,43,0,0,A
dMxD5H1E,01.05.2022 15:00,Alanyaspor,Yeni Malatyaspor,2,1,79%,21%,40,4,11,3,19,1,10,0,17,2,0,3,2,9,15,11,2,1,576,162,518,85,9,14,84,61,126,25,0,1,H
IVw96cn8,01.05.2022 15:00,Kayserispor,Besiktas,2,3,50%,50%,13,17,4,6,7,8,2,3,4,6,4,1,3,2,13,20,0,4,338,346,250,253,13,16,64,63,54,67,0,1,A
IgMecg9f,30.04.2022 19:30,Hatayspor,Altay,0,1,68%,32%,10,7,1,3,6,3,3,1,9,2,6,1,2,1,7,14,3,1,585,283,498,198,13,12,108,73,122,57,0,0,A
QesH4yHK,30.04.2022 19:30,Trabzonspor,Antalyaspor,2,2,40%,60%,9,12,5,7,3,4,1,1,5,4,1,2,5,3,9,12,3,4,360,537,284,467,27,13,75,105,55,85,0,0,D
OWMibZgl,30.04.2022 15:00,Kasimpasa,Basaksehir,2,3,47%,53%,13,16,3,8,9,6,1,2,5,3,0,1,5,1,12,14,0,2,387,446,292,379,18,10,67,91,59,63,0,0,A
GQaQsE97,30.04.2022 15:00,Konyaspor,Karagumruk,1,2,50%,50%,15,11,2,3,10,8,3,0,4,3,0,0,1,1,12,12,1,1,425,443,361,369,11,9,68,68,60,44,0,0,A
4jdMrff1,29.04.2022 19:30,Fenerbahce,Gaziantep,3,2,50%,50%,14,8,6,3,5,3,3,2,4,7,2,2,1,3,16,8,2,4,411,401,349,332,24,14,67,72,43,34,0,0,H
ATImaFvr,29.04.2022 19:30,Giresunspor,Adana Demirspor,2,0,42%,58%,14,9,5,1,8,7,1,1,4,2,2,0,1,3,11,15,0,1,393,541,313,456,15,16,107,109,75,71,0,0,H
UeMqVzQ1,25.04.2022 19:30,Besiktas,Kasimpasa,0,3,62%,38%,15,9,3,5,7,3,5,1,4,5,7,1,2,3,16,10,5,5,459,282,371,183,13,20,98,80,75,45,0,0,A
4SDZibXE,25.04.2022 19:30,Sivasspor,Alanyaspor,1,0,38%,62%,4,13,1,2,1,6,2,5,4,7,3,1,2,0,7,11,2,5,295,491,209,422,14,12,77,101,60,93,0,0,H
rDPQgK22,24.04.2022 19:30,Altay,Galatasaray,0,1,44%,56%,14,7,4,5,6,2,4,0,6,5,3,2,4,4,15,8,3,4,358,476,277,385,14,15,94,92,61,50,0,0,A
IVHwiInL,24.04.2022 19:30,Antalyaspor,Kayserispor,1,1,59%,41%,7,12,1,4,5,5,1,3,5,4,0,3,3,0,11,10,0,1,565,388,491,306,15,20,101,89,72,50,0,0,D
ATdIqzue,24.04.2022 15:00,Basaksehir,Hatayspor,3,0,63%,37%,21,3,8,1,12,1,1,1,3,2,1,0,1,5,6,10,1,1,563,326,509,243,11,17,103,63,88,37,0,0,H
ChHsjx2R,24.04.2022 15:00,Yeni Malatyaspor,Konyaspor,2,3,36%,64%,11,13,5,7,6,5,0,1,1,10,1,3,4,3,9,11,2,2,275,483,214,429,7,15,59,62,37,60,1,0,A
M3OUhvI8,23.04.2022 19:30,Adana Demirspor,Trabzonspor,1,3,64%,36%,14,11,3,6,11,5,0,0,9,0,1,4,3,2,12,9,1,1,512,300,424,234,7,12,110,84,119,42,0,0,A
WxbEpGPl,23.04.2022 15:00,Gaziantep,Goztepe,1,1,49%,51%,16,13,4,5,8,7,4,1,12,2,1,2,4,3,12,11,,,388,427,322,354,12,7,67,69,87,56,0,0,D
j5NuWGAe,23.04.2022 15:00,Karagumruk,Giresunspor,2,1,47%,53%,7,8,2,4,2,2,3,2,2,5,2,2,3,0,12,6,1,0,466,505,405,429,10,16,69,76,40,61,1,0,H
E139odAr,22.04.2022 19:30,Rizespor,Fenerbahce,0,6,31%,69%,9,20,3,14,4,2,2,4,6,11,0,2,8,3,13,10,3,1,273,643,210,591,30,21,62,103,52,94,1,0,A
Y1EngmCi,18.04.2022 19:30,Galatasaray,Yeni Malatyaspor,2,0,65%,35%,19,15,10,8,8,4,1,3,6,3,4,2,8,8,10,9,1,2,562,295,488,218,15,13,119,91,102,69,0,0,H
MRArfTdo,17.04.2022 19:30,Giresunspor,Besiktas,0,0,31%,69%,9,14,3,4,4,4,2,6,3,8,3,2,4,3,12,15,1,1,285,620,168,513,20,9,72,98,48,104,0,0,D
Oj7ajodA,17.04.2022 15:00,Kasimpasa,Adana Demirspor,4,0,52%,48%,22,9,8,5,8,3,6,1,3,7,5,3,5,4,13,11,1,1,426,378,366,317,20,14,76,73,43,38,0,1,H
GpbzjHpU,17.04.2022 12:30,Konyaspor,Gaziantep,4,1,56%,44%,20,8,9,6,9,2,2,0,3,7,3,2,5,5,10,10,1,2,510,407,453,337,14,13,81,87,71,50,0,1,H
fwUWXxtq,16.04.2022 19:30,Fenerbahce,Goztepe,2,0,61%,39%,14,9,3,3,7,5,4,1,2,6,3,1,3,1,7,17,0,3,568,341,505,283,22,13,91,78,68,61,0,1,H
SODjh7Rc,16.04.2022 15:00,Alanyaspor,Antalyaspor,1,3,65%,35%,14,8,5,4,6,3,3,1,7,1,1,1,1,4,15,7,1,3,629,348,548,246,13,19,105,81,92,35,0,0,A
2s63k5BG,16.04.2022 15:00,Altay,Basaksehir,1,1,40%,60%,11,18,4,6,3,7,4,5,3,9,1,5,5,3,12,14,2,1,365,570,288,495,15,17,75,106,66,86,0,0,D
6FCfiRt4,16.04.2022 12:30,Hatayspor,Sivasspor,1,1,55%,45%,7,8,3,4,1,4,3,0,4,4,1,5,3,2,8,11,2,1,413,334,318,240,22,8,110,113,68,80,0,0,D
8tYzXdek,15.04.2022 19:30,Kayserispor,Rizespor,1,1,47%,53%,14,9,5,3,7,6,2,0,8,5,2,1,2,4,14,16,2,2,362,407,271,333,19,15,95,81,60,49,0,0,D
Igp2oygo,15.04.2022 19:30,Trabzonspor,Karagumruk,1,1,63%,37%,30,11,6,1,13,8,11,2,15,4,0,3,0,5,11,8,1,3,583,359,517,287,20,13,93,64,102,37,0,0,D
nBgWjcVN,11.04.2022 19:30,Antalyaspor,Hatayspor,4,1,55%,45%,14,6,8,4,5,2,1,0,3,5,2,0,3,4,11,11,1,1,475,374,422,306,10,16,70,65,47,47,0,1,H
