id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Expected Goals (xG)_home,Expected Goals (xG)_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,result
nH4FwnTO,07.06.2023 19:00,Ankaragucu,Adana Demirspor,1,2,53%,47%,16,11,7,5,5,3,4,3,9,17,7,1,5,0,11,17,3,6,13,9,121,107,79,56,0,0,,,,,,,,,,,A
GWvPckEt,07.06.2023 19:00,Besiktas,Konyaspor,3,3,54%,46%,17,6,8,3,6,0,3,3,13,14,9,3,1,1,23,10,0,5,13,12,182,148,126,74,0,1,1,3,,,,,,,,,D
8Q5BvSDI,07.06.2023 19:00,Fenerbahce,Gaziantep,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
voEfrAEg,07.06.2023 19:00,Giresunspor,Antalyaspor,2,0,38%,62%,5,18,3,5,2,8,0,5,13,15,3,11,3,3,20,16,5,1,12,11,82,96,34,84,1,0,3,1,,,,,,,,,H
CbC2tlq6,07.06.2023 19:00,Hatayspor,Galatasaray,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
IyDbsUTa,07.06.2023 19:00,Istanbulspor AS,Umraniyespor,4,0,63%,37%,24,3,12,1,6,1,6,1,11,15,8,1,2,1,20,15,1,8,13,10,128,86,94,31,0,0,3,1,,,,,,,,,H
Q1G6u8bC,06.06.2023 19:00,Basaksehir,Trabzonspor,3,1,63%,37%,16,17,6,4,6,10,4,3,11,9,3,5,3,1,19,23,3,3,6,10,93,86,52,51,0,0,,,,,,,,,,,H
ENhc2V5P,06.06.2023 16:00,Karagumruk,Kasimpasa,3,0,45%,55%,11,14,6,2,5,8,0,4,15,14,0,11,4,3,14,13,2,3,10,12,109,152,57,112,0,0,3,1,,,,,,,,,H
beUTd9Tn,06.06.2023 16:00,Sivasspor,Kayserispor,1,1,54%,46%,15,10,3,2,8,6,4,2,12,17,6,1,1,2,24,24,1,2,16,10,98,97,73,44,0,0,0,1,,,,,,,,,D
jNdI1bFE,04.06.2023 18:00,Galatasaray,Fenerbahce,3,0,53%,47%,13,2,6,0,5,1,2,1,16,15,6,3,3,2,20,11,0,3,12,14,87,72,63,41,0,1,1,2,,,,,,,,,H
jXaWweN7,03.06.2023 18:00,Adana Demirspor,Basaksehir,2,3,59%,41%,25,15,11,6,11,8,3,1,20,10,9,8,3,6,14,8,4,9,7,14,141,91,95,50,0,0,1,1,,,,,,,,,A
M9Jkqjam,03.06.2023 18:00,Antalyaspor,Hatayspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,H
hxvF2v08,03.06.2023 18:00,Gaziantep,Istanbulspor AS,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
r7dOuHhe,03.06.2023 18:00,Kasimpasa,Besiktas,2,5,44%,56%,15,16,6,6,8,9,1,1,13,14,5,5,4,0,14,12,1,4,11,13,92,103,75,63,0,0,2,3,,,,,,,,,A
