id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
rDDE2dfm,17.03.2024 18:30,Trabzonspor,Fenerbahce,2,3,1.16,0.91,60%,40%,7,7,3,5,3,2,1,0,17,13,10,2,0,1,20,17,2,1,13,18,5,4,82,69,43,33,0,0,A
dMvdpFvJ,17.03.2024 14:00,Hatayspor,Samsunspor,3,0,1.16,0.26,48%,52%,9,12,3,2,5,7,1,3,9,15,0,7,2,0,26,33,2,0,13,9,4,1,92,93,21,49,0,0,H
IVuhoePC,17.03.2024 14:00,Kasimpasa,Galatasaray,3,4,2.33,2.25,53%,47%,16,12,5,6,8,5,3,1,9,17,2,4,5,1,17,16,2,2,12,8,4,1,92,89,54,39,1,0,A
YwOv9bHJ,17.03.2024 11:30,Rizespor,Gaziantep,3,1,2.45,1.16,51%,49%,10,14,6,8,2,4,2,2,10,16,6,8,2,1,8,20,7,3,14,10,1,2,96,91,38,41,0,0,H
Qy3J1G9g,16.03.2024 18:30,Adana Demirspor,Sivasspor,4,1,1.05,0.29,64%,36%,13,6,7,2,5,3,1,1,13,12,3,6,1,0,17,15,1,3,11,13,3,2,135,64,50,23,1,0,H
U99A3xus,16.03.2024 18:30,Besiktas,Antalyaspor,1,2,1.46,1.52,55%,45%,20,10,7,2,7,4,6,4,14,12,8,5,2,1,24,26,0,6,11,14,2,3,136,82,75,36,0,0,A
CUMr8IWP,16.03.2024 14:00,Ankaragucu,Basaksehir,2,1,1.73,1.62,38%,62%,13,11,6,3,6,8,1,0,9,11,1,2,1,0,15,21,2,4,10,10,0,2,97,104,59,36,0,0,H
CYxpmHf0,16.03.2024 11:30,Alanyaspor,Kayserispor,1,0,1.27,1.05,48%,52%,8,13,3,3,5,6,0,4,20,12,0,3,1,2,17,19,3,2,11,18,1,3,117,84,42,35,0,0,H
4S1N0zPa,15.03.2024 18:30,Karagumruk,Konyaspor,1,1,0.80,0.72,53%,47%,11,11,5,4,4,5,2,2,13,13,9,4,1,2,20,26,3,4,12,11,2,0,120,92,41,34,0,0,D
O8tlnyA6,15.03.2024 18:30,Pendikspor,Istanbulspor AS,1,0,1.71,0.21,63%,37%,19,3,5,1,8,1,6,1,23,22,6,2,3,2,25,16,1,4,12,20,1,6,141,76,67,20,0,1,H
MqpXkJAs,11.03.2024 18:30,Gaziantep,Besiktas,2,0,1.10,1.23,45%,55%,8,13,4,5,1,4,3,4,14,13,2,3,4,2,26,31,5,2,10,12,3,3,76,134,26,44,0,0,H
4hoEZcQ0,10.03.2024 17:00,Fenerbahce,Pendikspor,4,1,2.58,0.52,67%,33%,20,4,7,1,8,3,5,0,28,18,8,1,3,0,26,15,0,3,15,29,6,8,145,91,91,26,0,2,H
WEHAYHu7,10.03.2024 14:00,Istanbulspor AS,Kasimpasa,1,2,0.54,1.80,45%,55%,8,24,2,9,2,10,4,5,12,12,4,9,2,6,20,18,7,1,10,6,3,0,126,117,65,107,0,0,A
jJlykwQm,10.03.2024 14:00,Samsunspor,Ankaragucu,2,1,1.47,0.15,50%,50%,22,7,4,2,10,1,8,4,16,13,2,2,0,2,30,25,1,2,13,14,1,3,94,72,69,43,0,0,H
Q1nAzvBf,10.03.2024 11:30,Kayserispor,Hatayspor,1,1,1.83,0.27,57%,43%,18,5,3,1,8,4,7,0,14,14,3,2,3,1,19,34,0,2,10,13,3,3,98,70,58,47,1,0,D
Kzb5fa2Q,09.03.2024 17:00,Basaksehir,Antalyaspor,1,0,0.91,0.25,60%,40%,12,9,4,0,7,5,1,4,10,12,10,3,2,0,18,20,0,3,11,10,1,1,104,63,68,35,0,0,H
xC80eumK,09.03.2024 17:00,Trabzonspor,Karagumruk,5,1,1.07,0.10,67%,33%,27,6,12,2,9,3,6,1,13,10,8,2,0,0,22,13,1,7,10,13,0,3,122,50,62,14,0,0,H
O84ddLXD,09.03.2024 14:00,Konyaspor,Adana Demirspor,2,2,1.65,0.39,40%,60%,13,13,5,3,5,7,3,3,11,13,3,6,1,1,16,21,1,3,12,12,0,3,86,115,43,31,0,0,D
A5GEXyeD,09.03.2024 11:30,Sivasspor,Alanyaspor,1,2,0.70,0.80,50%,50%,16,5,5,4,6,1,5,0,18,10,5,4,1,1,24,16,2,4,9,17,3,2,109,80,47,27,0,0,A
U9mulcuf,08.03.2024 18:00,Galatasaray,Rizespor,6,2,1.97,0.46,59%,41%,14,10,10,4,2,3,2,3,13,19,3,3,1,1,15,23,2,4,18,13,1,1,152,117,90,58,0,0,H
bmWTf8d9,04.03.2024 18:00,Alanyaspor,Trabzonspor,3,1,2.39,1.22,35%,65%,11,24,5,7,5,6,1,11,9,18,1,9,0,1,15,30,6,2,17,8,3,0,63,135,27,68,0,0,H
jNSLdURd,04.03.2024 18:00,Antalyaspor,Gaziantep,1,0,2.12,0.48,52%,48%,20,8,10,3,6,4,4,1,12,13,11,5,1,1,21,22,3,9,12,11,1,2,93,115,46,53,0,0,H
