id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result,Goal Kicks_home,Goal Kicks_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away
t6W1G9V4,18.05.2014 18:00,Akhisarspor,Kasimpasa,1,3,51%,49%,12.0,14.0,3.0,11.0,9.0,3.0,27.0,16.0,5.0,4.0,6.0,2.0,31.0,23.0,8.0,2.0,9.0,22.0,1.0,4.0,0,0,A,,,,,,,,,,,,,,
pvwgIV0h,18.05.2014 18:00,Antalyaspor,Trabzonspor,0,2,50%,50%,7.0,14.0,1.0,6.0,6.0,8.0,19.0,9.0,3.0,2.0,1.0,1.0,9.0,12.0,4.0,1.0,8.0,16.0,2.0,2.0,0,0,A,,,,,,,,,,,,,,
KdV5FTpB,18.05.2014 18:00,Kardemir Karabuk,Sivasspor,1,0,51%,49%,13.0,14.0,5.0,3.0,8.0,11.0,12.0,22.0,6.0,3.0,5.0,3.0,16.0,15.0,3.0,4.0,16.0,10.0,2.0,2.0,0,0,H,,,,,,,,,,,,,,
OUycHkGb,17.05.2014 18:00,Besiktas,Genclerbirligi,1,1,58%,42%,13.0,8.0,2.0,2.0,11.0,6.0,19.0,8.0,11.0,3.0,2.0,2.0,22.0,17.0,1.0,1.0,7.0,16.0,1.0,3.0,1,0,D,,,,,,,,,,,,,,
jHwkJBon,17.05.2014 18:00,Galatasaray,Kayseri Erciyesspor,2,1,75%,25%,23.0,4.0,10.0,3.0,13.0,1.0,21.0,8.0,8.0,2.0,4.0,3.0,11.0,12.0,2.0,8.0,8.0,17.0,1.0,2.0,0,0,H,,,,,,,,,,,,,,
EJU9Em0H,17.05.2014 15:00,Bursaspor,Gaziantepspor,3,1,56%,44%,19.0,11.0,10.0,6.0,9.0,5.0,23.0,9.0,9.0,7.0,2.0,4.0,11.0,13.0,5.0,7.0,10.0,17.0,0.0,3.0,0,0,H,,,,,,,,,,,,,,
Cj8va80U,17.05.2014 12:30,Rizespor,Elazigspor,3,1,54%,46%,21.0,14.0,11.0,7.0,10.0,7.0,11.0,16.0,11.0,3.0,4.0,2.0,12.0,16.0,6.0,8.0,11.0,10.0,3.0,3.0,0,0,H,,,,,,,,,,,,,,
Ya9z0loO,16.05.2014 19:00,Eskisehirspor,Konyaspor,1,1,57%,43%,12.0,7.0,9.0,5.0,3.0,2.0,30.0,18.0,4.0,4.0,4.0,2.0,23.0,13.0,4.0,8.0,13.0,28.0,2.0,4.0,0,0,D,,,,,,,,,,,,,,
xEZpKiWu,16.05.2014 19:00,Kayserispor,Fenerbahce,0,2,49%,51%,14.0,6.0,3.0,4.0,11.0,2.0,11.0,16.0,6.0,6.0,2.0,1.0,22.0,22.0,2.0,3.0,13.0,13.0,2.0,0.0,0,0,A,,,,,,,,,,,,,,
nqBS1AGB,11.05.2014 18:00,Elazigspor,Besiktas,0,1,38%,62%,7.0,12.0,1.0,4.0,6.0,8.0,19.0,21.0,4.0,3.0,2.0,1.0,15.0,26.0,3.0,1.0,23.0,21.0,4.0,3.0,1,0,A,,,,,,,,,,,,,,
0SO66Y1t,11.05.2014 18:00,Gaziantepspor,Eskisehirspor,1,1,43%,57%,14.0,19.0,9.0,9.0,5.0,10.0,8.0,18.0,5.0,4.0,4.0,0.0,19.0,21.0,8.0,8.0,12.0,7.0,,,0,0,D,,,,,,,,,,,,,,
4KLN2j15,11.05.2014 18:00,Kasimpasa,Rizespor,1,1,52%,48%,20.0,8.0,7.0,3.0,13.0,5.0,17.0,11.0,13.0,2.0,0.0,3.0,21.0,26.0,2.0,6.0,9.0,9.0,1.0,2.0,0,0,D,,,,,,,,,,,,,,
I3JB5hHn,11.05.2014 18:00,Kayseri Erciyesspor,Bursaspor,1,1,59%,41%,11.0,17.0,4.0,6.0,7.0,11.0,13.0,21.0,8.0,5.0,7.0,0.0,22.0,14.0,5.0,3.0,13.0,12.0,2.0,3.0,0,0,D,,,,,,,,,,,,,,
dfIF4CWh,11.05.2014 18:00,Konyaspor,Kayserispor,3,0,46%,54%,10.0,12.0,6.0,2.0,4.0,10.0,17.0,37.0,3.0,8.0,3.0,1.0,17.0,32.0,2.0,3.0,34.0,11.0,2.0,2.0,0,1,H,,,,,,,,,,,,,,
pGlcnVGO,11.05.2014 18:00,Sivasspor,Akhisarspor,3,1,62%,38%,24.0,8.0,9.0,2.0,15.0,6.0,5.0,14.0,6.0,3.0,8.0,0.0,17.0,18.0,1.0,6.0,15.0,9.0,3.0,1.0,0,1,H,,,,,,,,,,,,,,
QZ9W0UVH,11.05.2014 18:00,Trabzonspor,Galatasaray,1,4,45%,55%,18.0,14.0,5.0,9.0,13.0,5.0,14.0,21.0,6.0,4.0,4.0,1.0,17.0,19.0,5.0,4.0,15.0,13.0,2.0,1.0,0,0,A,,,,,,,,,,,,,,
bJxuBEgP,10.05.2014 18:00,Genclerbirligi,Antalyaspor,1,2,45%,55%,14.0,14.0,5.0,5.0,9.0,9.0,13.0,20.0,3.0,4.0,0.0,0.0,22.0,13.0,3.0,4.0,19.0,12.0,3.0,2.0,0,0,A,,,,,,,,,,,,,,
jHHJ3Woa,09.05.2014 19:00,Fenerbahce,Kardemir Karabuk,4,0,56%,44%,26.0,10.0,10.0,3.0,16.0,7.0,15.0,11.0,6.0,4.0,3.0,2.0,22.0,12.0,3.0,6.0,7.0,13.0,1.0,1.0,0,0,H,,,,,,,,,,,,,,
46tklinC,04.05.2014 18:00,Akhisarspor,Fenerbahce,3,1,50%,50%,14.0,12.0,7.0,6.0,7.0,6.0,17.0,12.0,1.0,3.0,1.0,1.0,14.0,19.0,5.0,4.0,13.0,19.0,6.0,3.0,0,0,H,,,,,,,,,,,,,,
Ikvwig2g,04.05.2014 14:30,Bursaspor,Trabzonspor,2,2,56%,44%,19.0,14.0,11.0,8.0,8.0,6.0,24.0,14.0,9.0,6.0,0.0,6.0,13.0,26.0,6.0,9.0,12.0,15.0,5.0,2.0,0,0,D,,,,,,,,,,,,,,
MNpUhFXt,04.05.2014 14:30,Rizespor,Sivasspor,1,1,51%,49%,16.0,13.0,4.0,4.0,12.0,9.0,15.0,19.0,3.0,3.0,2.0,0.0,26.0,18.0,3.0,3.0,16.0,14.0,1.0,3.0,0,0,D,,,,,,,,,,,,,,
QFsokXW5,03.05.2014 18:00,Besiktas,Kasimpasa,2,1,46%,54%,9.0,12.0,3.0,5.0,6.0,7.0,25.0,25.0,4.0,8.0,8.0,2.0,15.0,22.0,4.0,1.0,15.0,22.0,1.0,1.0,0,0,H,,,,,,,,,,,,,,
URM0As3E,03.05.2014 18:00,Galatasaray,Genclerbirligi,3,2,50%,50%,13.0,8.0,4.0,3.0,9.0,5.0,27.0,26.0,6.0,3.0,1.0,5.0,21.0,21.0,1.0,1.0,23.0,22.0,5.0,5.0,0,0,H,,,,,,,,,,,,,,
dtwsjDHa,03.05.2014 14:30,Antalyaspor,Elazigspor,1,2,50%,50%,15.0,13.0,3.0,4.0,12.0,9.0,24.0,23.0,2.0,1.0,2.0,1.0,21.0,16.0,2.0,2.0,20.0,23.0,5.0,7.0,0,1,A,,,,,,,,,,,,,,
zRlYiZnm,03.05.2014 14:30,Eskisehirspor,Kayserispor,1,4,59%,41%,9.0,12.0,2.0,6.0,7.0,6.0,20.0,19.0,6.0,2.0,4.0,3.0,25.0,16.0,2.0,1.0,20.0,17.0,2.0,1.0,0,0,A,,,,,,,,,,,,,,
